,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC
Tommy Doyle,engENG,MF,Wolves,23-118,2001,5.1,422,20,122,234,69,2,422,8,4,50.0,1,12.5,236,1284,542,6,3,0,7,4,277,2,Matches
Radu Drăgușin,roROU,DF,Tottenham,23-009,2002,13.9,961,148,510,430,30,12,961,2,0,0.0,0,0.0,623,3349,1666,7,3,0,8,2,669,2,Matches
Martin Dúbravka,skSVK,GK,Newcastle Utd,36-028,1989,9.0,311,233,299,12,0,0,311,0,0,,0,,176,877,556,0,0,0,0,0,156,0,Matches
Lewis Dunk,engENG,DF,Brighton,33-083,1991,17.4,1600,205,778,748,84,15,1600,1,0,0.0,1,100.0,988,4693,2575,17,15,0,4,3,1163,2,Matches
Jáder Durán,coCOL,FW,Aston Villa,21-061,2003,7.1,263,13,36,110,122,47,263,14,3,21.4,9,64.3,133,535,267,7,7,2,16,15,192,44,Matches
Ederson,brBRA,GK,Manchester City,31-179,1993,15.0,594,406,585,9,0,0,594,0,0,,0,,386,1685,1035,0,0,0,1,0,386,0,Matches
George Edmundson,engENG,DF,Ipswich Town,27-165,1997,0.0,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0,Matches
Odsonne Édouard,frFRA,"MF,FW",Crystal Palace,27-027,1998,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7,Matches
Odsonne Édouard,frFRA,FW,Leicester City,27-027,1998,0.3,20,1,2,7,11,6,20,2,1,50.0,1,50.0,11,25,2,0,0,1,7,2,13,2,Matches
Samuel Edozie,engENG,"DF,FW",Southampton,22-015,2003,0.7,43,0,0,7,36,10,43,4,2,50.0,2,50.0,34,336,197,6,2,4,4,0,39,23,Matches
Ronnie Edwards,engENG,DF,Southampton,21-321,2003,0.1,6,3,4,2,0,0,6,0,0,,0,,3,10,0,0,0,0,0,0,5,0,Matches
Anthony Elanga,seSWE,"FW,MF",Nott'ham Forest,22-291,2002,16.2,658,26,100,186,383,64,658,47,13,27.7,19,40.4,345,2705,1551,60,30,29,45,27,430,117,Matches
Harvey Elliott,engENG,"MF,FW",Liverpool,21-314,2003,0.9,110,1,11,37,62,5,110,2,0,0.0,2,100.0,63,307,154,3,2,2,1,1,78,8,Matches
Yunus Emre Konak,trTUR,"MF,FW",Brentford,19-033,2006,0.2,23,0,5,10,8,0,23,1,0,0.0,1,100.0,9,51,34,1,0,1,2,3,13,1,Matches
Julio Enciso,pyPAR,MF,Ipswich Town,21-020,2004,1.1,78,0,10,38,32,2,78,9,6,66.7,3,33.3,39,314,167,3,7,1,1,6,62,7,Matches
Julio Enciso,pyPAR,"MF,FW",Brighton,21-020,2004,3.3,202,2,17,72,116,20,202,21,10,47.6,8,38.1,114,678,386,11,10,4,7,9,141,17,Matches
Wataru Endo,jpJPN,MF,Liverpool,32-003,1993,1.0,74,2,11,48,16,2,74,1,1,100.0,0,0.0,38,144,44,0,0,1,5,2,51,1,Matches
Christian Eriksen,dkDEN,MF,Manchester Utd,32-364,1992,7.1,504,17,103,261,144,9,504,1,0,0.0,1,100.0,277,962,366,5,6,0,3,3,330,19,Matches
Romain Esse,engENG,MF,Crystal Palace,19-275,2005,0.1,6,0,1,2,3,2,6,0,0,,0,,3,17,1,0,0,0,0,0,4,2,Matches
Pervis Estupiñán,ecECU,DF,Brighton,27-022,1998,15.7,1139,47,278,568,305,19,1139,21,10,47.6,10,47.6,611,3025,1651,39,29,7,21,20,698,76,Matches
Evanilson,brBRA,FW,Bournemouth,25-129,1999,15.2,336,13,23,131,184,79,335,19,6,31.6,7,36.8,206,1087,503,19,10,11,28,18,244,61,Matches
Jonny Evans,nirNIR,DF,Manchester Utd,37-040,1988,3.2,223,30,125,91,11,2,223,1,1,100.0,0,0.0,128,498,183,1,0,0,1,0,137,2,Matches
Eberechi Eze,engENG,"MF,FW",Crystal Palace,26-228,1998,17.9,945,11,125,452,393,62,945,87,39,44.8,44,50.6,565,3327,1526,46,28,16,30,31,628,108,Matches
Łukasz Fabiański,plPOL,GK,West Ham,39-300,1985,11.9,488,382,483,5,0,0,488,2,2,100.0,0,0.0,258,1371,845,0,0,0,0,0,227,0,Matches
Wout Faes,beBEL,DF,Leicester City,26-315,1998,18.3,1129,188,539,550,45,17,1129,4,3,75.0,1,25.0,647,3043,1828,8,8,1,10,3,741,1,Matches
Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,20-341,2004,6.4,326,19,73,114,157,26,326,69,29,42.0,28,40.6,217,1869,1055,42,24,15,18,12,216,60,Matches
João Félix,ptPOR,"FW,MF",Chelsea,25-094,1999,4.1,271,2,26,128,124,29,271,31,10,32.3,14,45.2,192,1240,710,21,13,5,6,4,217,29,Matches
Evan Ferguson,ieIRL,FW,Brighton,20-116,2004,2.7,88,7,13,50,26,9,88,2,1,50.0,1,50.0,42,183,56,2,1,2,5,6,52,9,Matches
Bruno Fernandes,ptPOR,MF,Manchester Utd,30-157,1994,21.4,1613,34,224,777,629,61,1610,42,16,38.1,21,50.0,952,4531,2418,51,40,8,28,24,1170,100,Matches
Mateus Fernandes,ptPOR,MF,Southampton,20-217,2004,19.3,1090,43,231,532,348,38,1090,73,32,43.8,34,46.6,549,3414,1793,51,40,8,32,20,673,64,Matches
Enzo Fernández,arARG,MF,Chelsea,24-026,2001,18.8,1352,23,218,685,453,46,1352,30,16,53.3,9,30.0,719,2978,1424,26,27,3,16,20,985,66,Matches
Mark Flekken,nlNED,GK,Brentford,31-244,1993,22.4,1180,921,1146,39,0,0,1180,1,1,100.0,0,0.0,734,3676,2022,0,0,0,2,0,679,0,Matches
Phil Foden,engENG,"MF,FW",Manchester City,24-260,2000,15.2,891,12,65,310,525,70,891,29,10,34.5,14,48.3,557,2886,1393,37,23,11,28,23,694,98,Matches
Wesley Fofana,frFRA,DF,Chelsea,24-057,2000,11.3,821,76,341,451,43,9,821,13,7,53.8,3,23.1,502,2681,1353,14,10,1,15,4,581,4,Matches
Carlos Forbs,ptPOR,"MF,FW",Wolves,20-330,2004,2.6,117,3,20,38,60,13,117,12,7,58.3,5,41.7,72,435,297,9,3,8,7,4,82,28,Matches
Fraser Forster,engENG,GK,Tottenham,36-332,1988,7.0,228,212,228,0,0,0,228,1,1,100.0,0,0.0,113,501,264,0,0,0,1,0,94,0,Matches
Ryan Fraser,sctSCO,"FW,DF",Southampton,30-354,1994,3.4,131,12,45,50,37,3,131,3,2,66.7,1,33.3,74,492,252,10,5,2,4,2,94,18,Matches
Niclas Füllkrug,deGER,FW,West Ham,32-003,1993,4.1,111,7,8,60,43,20,111,3,0,0.0,3,100.0,40,146,74,3,2,2,10,2,78,8,Matches
Cody Gakpo,nlNED,FW,Liverpool,25-281,1999,14.5,626,18,57,179,403,73,626,42,25,59.5,13,31.0,421,2955,1471,37,22,17,29,13,477,199,Matches
Idrissa Gana Gueye,snSEN,MF,Everton,35-139,1989,19.5,1043,46,253,596,199,14,1043,23,11,47.8,11,47.8,494,2361,1011,15,17,3,18,26,620,14,Matches
Andrés García,esESP,DF,Aston Villa,22-005,2003,0.5,29,3,5,11,13,0,29,3,1,33.3,2,66.7,10,107,35,1,2,0,2,1,16,3,Matches
Alejandro Garnacho,arARG,"FW,MF",Manchester Utd,20-226,2004,14.7,696,8,78,235,395,102,696,57,15,26.3,37,64.9,492,3548,1678,78,38,42,37,31,530,183,Matches
James Garner,engENG,"DF,MF",Everton,23-336,2001,3.9,193,15,58,94,44,4,193,6,3,50.0,3,50.0,91,349,118,2,3,0,4,1,94,6,Matches
Tyrique George,engENG,FW,Chelsea,19-008,2006,0.1,4,0,1,1,2,0,4,0,0,,0,,3,29,11,1,0,0,0,0,4,0,Matches
Morgan Gibbs-White,engENG,MF,Nott'ham Forest,25-016,2000,17.4,957,19,121,461,393,64,957,56,24,42.9,25,44.6,553,3089,1637,46,32,9,40,27,727,80,Matches
Billy Gilmour,sctSCO,MF,Brighton,23-246,2001,1.1,73,2,14,46,13,0,73,2,1,50.0,1,50.0,44,210,117,2,0,0,0,0,58,2,Matches
Ben Godfrey,engENG,DF,Ipswich Town,27-028,1998,0.7,49,2,19,24,6,1,49,0,0,,0,,29,170,53,1,2,0,2,1,34,0,Matches
Martial Godo,engENG,FW,Fulham,21-335,2003,0.2,11,0,1,4,6,3,11,2,0,0.0,2,100.0,8,48,18,0,0,0,0,0,6,3,Matches
João Gomes,brBRA,MF,Wolves,24-000,2001,20.6,1192,47,279,660,266,19,1192,27,14,51.9,10,37.0,608,3669,1796,35,31,4,22,33,772,43,Matches
Rodrigo Gomes,ptPOR,"DF,FW",Wolves,21-220,2003,6.3,297,22,70,105,125,22,297,11,3,27.3,6,54.5,147,982,586,17,11,7,14,6,173,57,Matches
Toti Gomes,ptPOR,DF,Wolves,26-027,1999,15.0,975,136,501,439,50,8,975,17,12,70.6,3,17.6,540,2722,1425,6,10,0,12,9,642,7,Matches
Diego Gómez,pyPAR,MF,Brighton,21-322,2003,0.5,51,1,8,32,11,0,51,1,1,100.0,0,0.0,30,94,26,0,0,0,0,1,28,0,Matches
Joe Gomez,engENG,DF,Liverpool,27-265,1997,5.8,481,54,183,264,37,5,481,0,0,,0,,303,1638,947,5,2,1,1,2,335,2,Matches
Anthony Gordon,engENG,FW,Newcastle Utd,23-354,2001,20.6,977,15,103,358,533,112,975,85,33,38.8,36,42.4,645,4768,2577,96,49,50,25,29,693,174,Matches
Ryan Gravenberch,nlNED,MF,Liverpool,22-272,2002,22.1,1521,71,308,895,338,18,1521,44,22,50.0,15,34.1,922,4840,2517,47,50,6,30,12,1090,36,Matches
Archie Gray,engENG,DF,Tottenham,18-337,2006,10.7,816,107,405,370,50,1,816,7,4,57.1,2,28.6,560,2490,1026,3,5,0,3,7,607,7,Matches
Jack Grealish,engENG,"FW,MF",Manchester City,29-155,1995,6.8,438,12,34,132,276,65,438,25,13,52.0,8,32.0,323,2560,1591,66,18,45,8,12,358,111,Matches
Jacob Greaves,engENG,DF,Ipswich Town,24-153,2000,14.0,799,173,450,318,33,13,799,2,1,50.0,1,50.0,362,1364,540,2,1,0,6,2,498,4,Matches
Brajan Gruda,deGER,"FW,MF",Brighton,20-257,2004,4.1,192,4,26,64,103,22,192,17,6,35.3,7,41.2,115,808,399,14,16,8,6,16,125,39,Matches
Albert Grønbaek,dkDEN,MF,Southampton,23-265,2001,0.8,22,0,3,8,11,2,22,2,0,0.0,2,100.0,11,34,7,1,0,1,2,1,12,1,Matches
Gonçalo Guedes,ptPOR,"MF,FW",Wolves,28-075,1996,7.7,340,4,39,147,166,24,340,20,5,25.0,11,55.0,202,1502,740,26,17,3,33,13,227,50,Matches
Marc Guéhi,engENG,DF,Crystal Palace,24-214,2000,23.0,1463,239,788,601,83,20,1463,12,10,83.3,2,16.7,787,3882,1973,10,13,1,13,10,903,5,Matches
Luis Guilherme,brBRA,"MF,FW",West Ham,19-003,2006,0.6,42,3,11,10,21,2,42,4,0,0.0,2,50.0,18,148,69,1,2,1,1,0,25,6,Matches
Bruno Guimarães,brBRA,MF,Newcastle Utd,27-088,1997,23.2,1443,56,319,752,387,38,1443,57,24,42.1,17,29.8,973,5325,2235,32,28,5,36,63,1082,55,Matches
Marc Guiu,esESP,FW,Chelsea,19-039,2006,0.8,22,0,2,8,12,3,22,1,0,0.0,1,100.0,12,30,8,0,0,0,2,0,12,3,Matches
İlkay Gündoğan,deGER,MF,Manchester City,34-111,1990,14.9,1188,28,181,567,457,43,1188,23,13,56.5,6,26.1,702,3949,1861,37,37,7,18,15,932,59,Matches
Malo Gusto,frFRA,DF,Chelsea,21-269,2003,14.5,1111,33,279,528,313,34,1111,10,3,30.0,7,70.0,595,2838,1465,33,26,3,8,11,740,64,Matches
Joško Gvardiol,hrCRO,DF,Manchester City,23-020,2002,22.5,1907,80,447,875,602,71,1907,30,19,63.3,9,30.0,1211,6245,3514,56,72,12,17,13,1392,79,Matches
Erling Haaland,noNOR,FW,Manchester City,24-206,2000,23.6,492,20,34,158,303,151,490,25,10,40.0,13,52.0,232,1152,439,16,13,15,36,20,375,95,Matches
Lewis Hall,engENG,DF,Newcastle Utd,20-157,2004,21.3,1611,81,555,700,374,45,1611,16,8,50.0,6,37.5,877,4023,2161,37,22,11,30,17,982,71,Matches
Ali Al Hamadi,iqIRQ,FW,Ipswich Town,22-348,2002,1.5,53,2,6,20,30,9,53,7,4,57.1,3,42.9,29,187,111,4,3,4,7,4,36,14,Matches
Marcus Harness,engENG,MF,Ipswich Town,28-354,1996,0.5,22,4,7,2,13,3,22,1,0,0.0,1,100.0,9,49,14,0,0,0,0,0,9,1,Matches
Jack Harrison,engENG,FW,Everton,28-084,1996,11.1,431,19,85,149,200,38,431,38,11,28.9,23,60.5,250,1325,646,24,10,8,27,28,300,59,Matches
Taylor Harwood-Bellis,engENG,DF,Southampton,23-013,2002,21.1,1775,240,829,822,131,28,1775,3,3,100.0,0,0.0,1003,4466,2576,19,23,0,10,5,1297,7,Matches
Kai Havertz,deGER,"FW,MF",Arsenal,25-246,1999,20.4,768,31,88,282,403,103,768,38,9,23.7,24,63.2,411,1957,922,34,23,18,42,22,575,110,Matches
Jan Paul van Hecke,nlNED,DF,Brighton,24-249,2000,20.9,1747,170,728,908,124,21,1747,8,3,37.5,4,50.0,1188,7326,5025,39,37,0,9,5,1254,5,Matches
Hwang Hee-chan,krKOR,"MF,FW",Wolves,29-017,1996,6.9,248,9,39,95,116,22,248,11,1,9.1,10,90.9,141,893,414,14,5,7,12,7,161,38,Matches
Dean Henderson,engENG,GK,Crystal Palace,27-337,1997,24.0,841,678,839,1,1,1,841,0,0,,0,,486,2876,1286,0,0,0,1,0,376,0,Matches
Rico Henry,engENG,DF,Brentford,27-219,1997,0.0,6,0,4,1,1,0,6,0,0,,0,,2,5,0,0,0,0,0,0,2,1,Matches
Mads Hermansen,dkDEN,GK,Leicester City,24-216,2000,16.5,688,514,661,28,0,0,688,1,1,100.0,0,0.0,436,2188,1146,0,0,0,0,0,357,0,Matches
Son Heung-min,krKOR,FW,Tottenham,32-219,1992,17.6,858,11,84,276,506,88,857,63,25,39.7,31,49.2,567,3432,1763,68,38,29,22,21,663,197,Matches
James Hill,engENG,"DF,MF",Bournemouth,23-033,2002,2.0,116,7,29,60,27,0,116,2,1,50.0,1,50.0,53,140,75,0,2,0,2,0,59,5,Matches
Jack Hinshelwood,engENG,"MF,DF",Brighton,19-307,2005,10.0,625,28,182,298,150,13,625,6,1,16.7,5,83.3,298,1303,653,10,7,1,12,1,404,28,Matches
George Hirst,engENG,FW,Ipswich Town,25-363,1999,2.4,79,4,11,25,43,12,79,1,0,0.0,1,100.0,44,218,66,3,1,3,13,7,70,17,Matches
Mason Holgate,engENG,"FW,DF",Everton,28-113,1996,0.1,3,0,0,2,1,0,3,0,0,,0,,1,0,0,0,0,0,1,0,1,0,Matches
Callum Hudson-Odoi,engENG,"FW,MF",Nott'ham Forest,24-097,2000,16.9,725,10,76,231,435,52,725,46,27,58.7,13,28.3,453,3718,2448,92,45,32,33,19,555,133,Matches
Will Hughes,engENG,MF,Crystal Palace,29-301,1995,15.7,807,27,168,428,222,12,807,10,3,30.0,5,50.0,368,1978,877,16,18,1,16,18,460,21,Matches
Dean Huijsen,esESP,DF,Bournemouth,19-304,2005,13.8,951,127,440,462,57,19,951,3,2,66.7,1,33.3,515,3062,1970,22,8,0,7,0,571,3,Matches
Omari Hutchinson,engENG,"MF,FW",Ipswich Town,21-105,2003,20.7,871,11,142,367,379,62,871,104,42,40.4,48,46.2,535,4073,1884,55,31,26,59,49,619,105,Matches
Rasmus Højlund,dkDEN,FW,Manchester Utd,22-008,2003,12.3,299,3,15,152,136,33,299,22,6,27.3,14,63.6,187,926,383,18,10,8,45,17,241,56,Matches
Igor,brBRA,DF,Brighton,27-005,1998,10.0,764,109,377,353,38,1,764,4,3,75.0,1,25.0,497,2837,1782,9,14,0,1,0,568,0,Matches
Danny Ings,engENG,"FW,MF",West Ham,32-204,1992,3.1,135,2,15,50,70,26,135,7,4,57.1,2,28.6,60,322,116,6,0,2,5,6,93,26,Matches
Tim Iroegbunam,engENG,MF,Everton,21-227,2003,4.4,170,10,48,86,41,11,170,14,6,42.9,5,35.7,85,496,243,5,7,2,6,9,78,7,Matches
Andy Irving,sctSCO,MF,West Ham,24-275,2000,1.8,147,7,37,87,23,0,147,1,1,100.0,0,0.0,72,304,137,0,1,0,1,3,103,4,Matches
Alexander Isak,seSWE,FW,Newcastle Utd,25-144,1999,20.0,704,13,39,266,408,127,703,71,33,46.5,37,52.1,429,2558,1310,58,30,32,44,38,498,142,Matches
Alex Iwobi,ngNGA,"FW,MF",Fulham,28-285,1996,22.4,1264,25,174,493,618,84,1264,66,35,53.0,28,42.4,910,5433,3033,101,78,30,43,30,1008,167,Matches
Nicolas Jackson,snSEN,FW,Chelsea,23-237,2001,19.3,544,19,41,226,285,115,544,50,17,34.0,25,50.0,324,2069,1116,41,21,26,52,33,396,94,Matches
Reece James,engENG,DF,Chelsea,25-066,1999,5.4,478,20,146,255,80,2,478,8,5,62.5,2,25.0,252,1037,501,3,1,0,4,1,294,5,Matches
Vitaly Janelt,deGER,MF,Brentford,26-278,1998,19.1,998,96,329,447,230,24,998,11,3,27.3,6,54.5,521,2420,969,11,14,2,15,10,634,29,Matches
Vitezslav Jaros,czCZE,GK,Liverpool,23-204,2001,0.1,8,5,8,0,0,0,8,0,0,,0,,7,29,8,0,0,0,0,0,5,0,Matches
Daniel Jebbison,engENG,"FW,MF",Bournemouth,21-183,2003,0.7,31,2,3,13,15,6,31,3,2,66.7,1,33.3,22,137,74,2,1,2,5,2,24,7,Matches
Mathias Jensen,dkDEN,MF,Brentford,29-042,1996,7.8,441,19,102,183,157,7,441,13,7,53.8,4,30.8,241,1053,506,6,8,0,6,6,275,21,Matches
Gabriel Jesus,brBRA,FW,Arsenal,27-315,1997,6.8,299,9,28,108,165,48,299,22,9,40.9,10,45.5,179,953,432,15,6,11,13,13,217,57,Matches
Raúl Jiménez,mxMEX,FW,Fulham,33-283,1991,16.9,612,18,64,268,288,109,609,34,14,41.2,17,50.0,341,1475,667,25,11,11,43,26,448,81,Matches
Kim Jisoo,krKOR,DF,Brentford,20-050,2004,0.3,29,1,14,12,3,0,29,0,0,,0,,15,57,22,0,0,0,0,1,22,0,Matches
João Pedro,brBRA,"FW,MF",Brighton,23-139,2001,14.9,634,8,40,263,341,82,633,51,21,41.2,25,49.0,433,2752,1315,51,29,24,49,25,511,94,Matches
Joelinton,brBRA,"MF,FW",Newcastle Utd,28-182,1996,21.3,1106,55,216,540,359,70,1106,41,12,29.3,26,63.4,608,3026,1457,33,18,7,31,47,758,96,Matches
Ben Johnson,engENG,"DF,FW",Ipswich Town,25-019,2000,9.2,406,37,166,144,98,6,406,17,7,41.2,8,47.1,173,948,378,10,9,2,14,9,194,18,Matches
Brennan Johnson,wlsWAL,FW,Tottenham,23-265,2001,16.6,606,10,56,188,369,100,606,28,14,50.0,11,39.3,371,2051,1048,46,14,27,18,9,437,153,Matches
Sam Johnstone,engENG,GK,Wolves,31-324,1993,7.0,306,229,304,2,0,0,306,0,0,,0,,196,1221,756,0,0,0,0,0,179,0,Matches
Curtis Jones,engENG,MF,Liverpool,24-013,2001,10.3,683,16,101,365,221,37,683,12,8,66.7,3,25.0,420,1991,877,12,8,3,15,25,530,49,Matches
Jorginho,itITA,MF,Arsenal,33-054,1991,5.1,338,5,67,202,73,1,338,2,1,50.0,0,0.0,195,990,572,8,7,0,8,7,249,2,Matches
Diogo Jota,ptPOR,FW,Liverpool,28-070,1996,7.0,273,4,22,109,148,53,273,21,8,38.1,12,57.1,147,993,498,24,17,13,22,13,191,54,Matches
James Justin,engENG,DF,Leicester City,26-355,1998,22.0,1316,101,463,582,278,33,1316,24,7,29.2,10,41.7,587,2418,1201,31,20,4,23,9,727,64,Matches
Filip Jørgensen,dkDEN,GK,Chelsea,22-302,2002,3.0,90,75,89,1,0,0,90,0,0,,0,,68,289,159,0,0,0,0,0,56,0,Matches
Ferdi Kadioglu,trTUR,"DF,MF",Brighton,25-128,1999,4.3,231,13,71,91,72,9,231,7,3,42.9,3,42.9,124,479,183,1,0,0,6,2,144,27,Matches
Daichi Kamada,jpJPN,MF,Crystal Palace,28-191,1996,10.4,558,13,103,304,154,18,558,8,4,50.0,4,50.0,275,1362,661,16,11,3,9,16,355,38,Matches
Boubacar Kamara,frFRA,MF,Aston Villa,25-081,1999,11.5,705,61,214,408,88,6,705,19,7,36.8,7,36.8,357,1747,826,11,8,1,5,7,466,3,Matches
Michael Kayode,itITA,DF,Brentford,20-217,2004,0.2,14,0,5,1,8,1,14,0,0,,0,,6,30,7,1,0,1,0,0,5,3,Matches
Michael Keane,engENG,DF,Everton,32-032,1993,9.0,409,78,226,167,18,14,409,1,0,0.0,1,100.0,187,736,234,1,1,0,0,2,236,3,Matches
Caoimhín Kelleher,ieIRL,GK,Liverpool,26-081,1998,8.0,309,230,308,1,0,0,309,1,1,100.0,0,0.0,232,851,453,0,0,0,1,0,209,0,Matches
Lloyd Kelly,engENG,DF,Newcastle Utd,26-129,1998,3.4,215,26,105,94,19,4,215,3,2,66.7,1,33.3,120,474,202,0,2,0,3,2,129,5,Matches
Milos Kerkez,huHUN,DF,Bournemouth,21-097,2003,23.2,1259,77,313,531,428,37,1259,29,12,41.4,9,31.0,635,3595,2158,60,37,8,32,11,676,115,Matches
Bilal El Khannouss,maMAR,MF,Leicester City,20-278,2004,12.2,657,6,79,362,222,15,657,28,20,71.4,8,28.6,371,2118,982,29,19,3,18,15,433,41,Matches
Abdukodir Khusanov,uzUZB,DF,Manchester City,20-349,2004,0.6,52,8,33,19,1,0,52,1,0,0.0,1,100.0,41,163,44,0,0,0,0,0,43,0,Matches
Max Kilman,engENG,DF,West Ham,27-265,1997,23.2,1449,285,812,585,64,22,1449,16,11,68.8,1,6.3,777,3430,1975,20,6,2,10,1,958,3,Matches
Joshua King,engENG,"MF,FW",Fulham,18-040,2007,0.9,54,2,8,19,28,7,54,7,4,57.1,3,42.9,22,176,70,1,3,0,1,3,36,9,Matches
Antonín Kinský,czCZE,GK,Tottenham,21-336,2003,4.0,156,134,154,2,0,0,156,0,0,,0,,97,444,267,1,0,0,0,0,98,0,Matches
Jakub Kiwior,plPOL,DF,Arsenal,24-363,2000,3.6,202,31,91,103,8,0,202,2,1,50.0,1,50.0,94,333,153,1,0,0,0,0,138,0,Matches
Justin Kluivert,nlNED,"MF,FW",Bournemouth,25-283,1999,17.0,660,18,72,218,387,95,654,53,20,37.7,26,49.1,373,2470,1384,47,33,26,35,15,415,104,Matches
Ibrahima Konaté,frFRA,DF,Liverpool,25-263,1999,15.5,1224,127,509,632,87,13,1224,2,1,50.0,1,50.0,728,3423,1985,16,8,0,5,1,868,1,Matches
Ezri Konsa,engENG,DF,Aston Villa,27-112,1997,21.1,1250,135,571,595,90,15,1250,13,7,53.8,5,38.5,727,3783,1904,14,8,2,12,5,870,11,Matches
Mateo Kovačić,hrCRO,MF,Manchester City,30-282,1994,17.2,1473,37,206,825,460,14,1473,32,17,53.1,9,28.1,987,5787,2726,43,52,2,15,21,1196,14,Matches
