,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC
Declan Rice,engENG,MF,Arsenal,26-029,1999,19.3,1248,40,208,596,453,41,1248,19,8,42.1,10,52.6,660,4215,2261,61,39,10,22,15,812,55,Matches
Chris Richards,usUSA,DF,Crystal Palace,24-321,2000,10.9,601,67,312,263,29,8,601,3,0,0.0,3,100.0,282,1216,570,3,2,0,3,2,350,1,Matches
Richarlison,brBRA,FW,Tottenham,27-278,1997,3.1,116,8,19,62,36,12,116,9,1,11.1,7,77.8,56,310,138,8,7,3,4,5,79,17,Matches
Andrew Robertson,sctSCO,DF,Liverpool,30-338,1994,18.3,1452,60,360,664,438,31,1452,8,3,37.5,4,50.0,779,3480,1990,43,38,3,17,7,979,66,Matches
Antonee Robinson,usUSA,DF,Fulham,27-188,1997,24.0,1761,90,557,676,555,51,1761,56,25,44.6,21,37.5,944,5087,2997,84,40,22,27,13,1061,193,Matches
Rodri,esESP,MF,Manchester City,28-235,1996,0.7,65,1,12,30,24,0,65,1,0,0.0,0,0.0,34,125,42,0,2,0,0,0,49,1,Matches
Guido Rodríguez,arARG,MF,West Ham,30-306,1994,11.3,615,42,196,365,55,2,615,3,2,66.7,0,0.0,284,988,392,2,5,0,1,6,354,5,Matches
Mads Roerslev,dkDEN,DF,Brentford,25-233,1999,12.2,645,49,234,268,146,20,645,19,7,36.8,8,42.1,352,1630,858,17,13,0,9,6,407,54,Matches
Morgan Rogers,engENG,"MF,FW",Aston Villa,22-201,2002,21.1,836,25,131,367,357,92,836,99,42,42.4,45,45.5,477,3568,2135,76,49,22,68,47,577,112,Matches
Cristian Romero,arARG,DF,Tottenham,26-291,1998,10.8,981,112,402,531,54,16,981,3,1,33.3,1,33.3,656,3423,2136,10,16,0,4,3,672,2,Matches
Georginio Rutter,frFRA,"FW,MF",Brighton,22-298,2002,14.1,499,18,66,183,262,64,499,54,20,37.0,27,50.0,286,2082,1268,38,32,13,33,23,325,66,Matches
José Sá,ptPOR,GK,Wolves,32-026,1993,17.0,590,467,583,8,0,0,590,6,6,100.0,0,0.0,366,2303,1410,0,0,0,1,0,280,0,Matches
Bukayo Saka,engENG,"FW,MF",Arsenal,23-160,2001,14.1,733,6,40,163,536,115,732,73,33,45.2,29,39.7,463,3196,1846,72,19,37,24,35,526,195,Matches
Mohamed Salah,egEGY,FW,Liverpool,32-242,1992,22.5,1011,9,52,298,671,231,1005,81,39,48.1,39,48.1,709,4284,2186,98,35,86,64,46,865,298,Matches
William Saliba,frFRA,DF,Arsenal,23-325,2001,21.3,1693,120,689,940,73,11,1693,12,8,66.7,4,33.3,1038,4442,2202,9,7,0,12,4,1260,2,Matches
Robert Sánchez,esESP,GK,Chelsea,27-086,1997,21.0,910,661,900,10,0,0,910,0,0,,0,,614,2822,1789,0,0,0,0,0,578,0,Matches
Jadon Sancho,engENG,FW,Chelsea,24-324,2000,12.4,608,9,78,183,354,77,608,67,35,52.2,27,40.3,413,2905,1645,66,25,35,20,12,478,138,Matches
Ibrahim Sangaré,ciCIV,MF,Nott'ham Forest,27-072,1997,2.5,155,5,37,99,21,7,155,0,0,,0,,60,231,67,0,2,0,3,1,80,2,Matches
Pablo Sarabia,esESP,"MF,FW",Wolves,32-277,1992,4.7,247,2,31,121,95,13,247,9,4,44.4,3,33.3,140,681,366,9,9,0,8,6,164,32,Matches
Jeremy Sarmiento,ecECU,MF,Brighton,22-241,2002,0.1,8,0,0,6,2,0,8,0,0,,0,,6,61,10,0,0,0,1,0,7,2,Matches
Ismaila Sarr,snSEN,"MF,FW",Crystal Palace,26-353,1998,17.7,639,24,100,241,306,81,639,32,9,28.1,17,53.1,360,2156,1188,44,29,21,46,29,436,113,Matches
Sávio,brBRA,"FW,MF",Manchester City,20-308,2004,13.0,731,8,34,168,541,104,731,79,39,49.4,24,30.4,525,4309,2489,94,31,51,33,23,567,153,Matches
Oliver Scarles,engENG,DF,West Ham,19-062,2005,1.3,82,5,30,27,27,2,82,4,1,25.0,3,75.0,33,172,86,2,2,1,4,0,37,13,Matches
Dane Scarlett,engENG,FW,Tottenham,20-325,2004,0.1,2,0,0,2,0,0,2,0,0,,0,,1,24,21,1,0,0,0,0,0,0,Matches
Kevin Schade,deGER,FW,Brentford,23-077,2001,12.9,431,17,63,124,250,67,431,44,13,29.5,25,56.8,237,1760,790,34,16,17,28,21,291,89,Matches
Fabian Schär,chSUI,DF,Newcastle Utd,33-054,1991,18.8,1377,169,720,576,90,18,1377,10,7,70.0,1,10.0,901,4182,2439,12,18,1,6,2,961,14,Matches
Jeffrey Schlupp,ghGHA,"MF,DF",Crystal Palace,32-051,1992,1.1,79,2,9,31,41,6,79,1,1,100.0,0,0.0,30,150,67,4,1,1,7,0,41,9,Matches
Alex Scott,engENG,MF,Bournemouth,21-175,2003,2.9,191,10,38,97,58,5,191,13,2,15.4,7,53.8,112,628,290,5,3,1,5,3,117,14,Matches
Matz Sels,beBEL,GK,Nott'ham Forest,32-352,1992,24.0,690,518,676,14,0,0,690,0,0,,0,,352,2057,1043,0,0,0,0,0,274,0,Matches
Nélson Semedo,ptPOR,DF,Wolves,31-088,1993,18.9,997,91,324,458,226,15,997,41,21,51.2,15,36.6,501,3086,1696,40,24,8,22,9,565,66,Matches
Antoine Semenyo,ghGHA,FW,Bournemouth,25-036,2000,22.4,1064,31,138,360,593,135,1064,93,50,53.8,36,38.7,647,5011,2451,95,49,49,58,50,738,196,Matches
Marcos Senesi,arARG,DF,Bournemouth,27-278,1997,10.2,698,59,305,339,63,12,698,8,5,62.5,3,37.5,432,2287,1306,11,14,0,5,5,437,3,Matches
Ryan Sessegnon,engENG,"MF,FW",Fulham,24-270,2000,0.2,11,0,4,6,2,0,11,0,0,,0,,5,54,43,0,1,0,0,2,4,0,Matches
Luke Shaw,engENG,DF,Manchester Utd,29-215,1995,0.8,107,3,46,56,5,0,107,0,0,,0,,86,335,143,1,2,0,1,0,93,0,Matches
Zain Silcott-Duberry,msMSR,FW,Bournemouth,19-218,2005,0.0,3,0,1,0,2,0,3,0,0,,0,,1,6,6,0,0,0,0,0,2,0,Matches
Bernardo Silva,ptPOR,"MF,FW",Manchester City,30-186,1994,21.3,1380,31,232,537,623,121,1380,46,22,47.8,20,43.5,863,5659,2851,77,47,27,16,26,1025,156,Matches
Jota Silva,ptPOR,"FW,MF",Nott'ham Forest,25-195,1999,7.9,300,18,77,82,152,39,300,28,9,32.1,11,39.3,149,982,540,17,10,7,23,11,165,45,Matches
Eric da Silva Moreira,deGER,"MF,DF",Nott'ham Forest,18-285,2006,0.3,13,3,7,4,2,0,13,1,0,0.0,1,100.0,4,26,11,1,0,0,1,0,3,1,Matches
Jahmai Simpson-Pusey,engENG,DF,Manchester City,19-100,2005,1.1,123,9,61,59,3,1,123,1,0,0.0,0,0.0,79,376,190,1,0,0,1,0,101,0,Matches
Luis Sinisterra,coCOL,"FW,MF",Bournemouth,25-240,1999,2.3,118,5,10,29,79,18,118,16,7,43.8,7,43.8,73,551,278,14,4,7,4,2,78,29,Matches
Oliver Skipp,engENG,MF,Leicester City,24-149,2000,8.5,424,21,99,270,59,5,424,9,4,44.4,5,55.6,243,987,492,13,7,1,10,5,290,13,Matches
William Smallbone,ieIRL,MF,Southampton,24-357,2000,3.6,195,7,26,90,80,11,195,2,2,100.0,0,0.0,81,307,157,3,6,0,8,3,121,15,Matches
Adam Smith,engENG,DF,Bournemouth,33-289,1991,11.5,507,29,173,222,115,3,507,11,4,36.4,4,36.4,217,783,370,7,12,0,10,5,224,16,Matches
Emile Smith Rowe,engENG,MF,Fulham,24-199,2000,15.9,861,17,117,398,355,41,861,26,14,53.8,10,38.5,574,2882,1534,44,31,10,24,12,671,83,Matches
Dominic Solanke,engENG,FW,Tottenham,27-151,1997,17.8,502,25,49,229,230,93,502,42,14,33.3,26,61.9,281,1584,658,27,20,13,44,35,338,71,Matches
Carlos Soler,esESP,"MF,FW",West Ham,28-041,1997,11.0,552,14,126,285,145,16,552,15,6,40.0,8,53.3,252,1203,495,11,13,4,7,10,371,20,Matches
Ramón Sosa,pyPAR,"FW,MF",Nott'ham Forest,25-165,1999,2.7,124,4,28,35,64,11,124,10,7,70.0,3,30.0,62,505,269,10,6,4,5,5,66,14,Matches
Tomáš Souček,czCZE,MF,West Ham,29-351,1995,18.9,848,81,230,435,187,72,848,7,4,57.1,3,42.9,327,996,358,4,8,2,13,8,503,42,Matches
Boubakary Soumaré,frFRA,MF,Leicester City,25-351,1999,13.3,861,39,228,541,102,10,861,29,17,58.6,8,27.6,514,2283,1170,16,7,2,15,13,607,11,Matches
Djed Spence,engENG,DF,Tottenham,24-187,2000,7.6,594,33,214,265,123,10,594,34,19,55.9,13,38.2,333,1888,1031,21,15,3,9,12,372,32,Matches
Jay Stansfield,engENG,MF,Fulham,22-080,2002,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Jason Steele,engENG,GK,Brighton,34-178,1990,2.0,114,107,114,0,0,0,114,0,0,,0,,91,361,151,0,0,0,0,0,83,0,Matches
Jack Stephens,engENG,DF,Southampton,31-016,1994,8.9,695,70,282,342,75,5,695,3,0,0.0,3,100.0,386,1846,929,11,9,0,1,1,512,1,Matches
Raheem Sterling,engENG,"FW,MF",Arsenal,30-066,1994,2.4,132,1,3,28,102,23,132,16,8,50.0,3,18.8,98,731,426,14,5,11,5,9,101,36,Matches
Ross Stewart,sctSCO,"FW,MF",Southampton,28-216,1996,1.5,61,5,13,30,18,2,61,2,1,50.0,1,50.0,34,144,54,1,0,0,1,5,46,5,Matches
Jakub Stolarczyk,plPOL,GK,Leicester City,24-055,2000,6.0,241,179,236,6,0,0,241,0,0,,0,,130,592,396,0,0,0,1,0,131,0,Matches
John Stones,engENG,"DF,MF",Manchester City,30-260,1994,5.1,384,31,118,201,67,4,384,1,1,100.0,0,0.0,253,1851,1020,10,13,0,1,0,289,1,Matches
Jørgen Strand Larsen,noNOR,FW,Wolves,25-006,2000,20.4,475,27,65,229,182,71,475,10,4,40.0,6,60.0,215,771,279,9,7,6,57,21,337,63,Matches
Yukinari Sugawara,jpJPN,DF,Southampton,24-229,2000,13.0,833,52,252,335,249,21,833,14,8,57.1,5,35.7,441,2136,1169,25,14,5,13,3,561,57,Matches
Kamaldeen Sulemana,ghGHA,"FW,MF",Southampton,22-363,2002,3.4,156,7,26,48,84,14,156,24,8,33.3,14,58.3,107,786,377,13,7,8,12,9,112,22,Matches
Crysencio Summerville,nlNED,"FW,MF",West Ham,23-105,2001,8.7,372,9,47,147,181,38,372,39,13,33.3,18,46.2,207,1463,762,29,15,13,20,16,259,71,Matches
Sammie Szmodics,ieIRL,"FW,MF",Ipswich Town,29-141,1995,10.9,307,16,79,118,116,33,307,12,4,33.3,6,50.0,173,986,399,16,8,7,24,17,188,46,Matches
Dominik Szoboszlai,huHUN,MF,Liverpool,24-110,2000,16.2,1001,12,119,494,402,67,1001,23,13,56.5,9,39.1,531,2837,1599,52,30,15,26,11,692,80,Matches
Matt Targett,engENG,DF,Newcastle Utd,29-147,1995,0.1,8,0,1,4,3,0,8,0,0,,0,,2,5,1,0,0,0,0,0,5,0,Matches
James Tarkowski,engENG,DF,Everton,32-085,1992,22.9,1200,256,674,458,77,39,1200,7,5,71.4,2,28.6,488,2246,1191,4,7,0,9,7,650,3,Matches
Marcus Tavernier,engENG,"FW,MF",Bournemouth,25-327,1999,13.1,693,12,76,263,369,32,693,35,14,40.0,20,57.1,391,2401,1108,29,26,4,23,33,438,83,Matches
Charlie Taylor,engENG,DF,Southampton,31-147,1993,3.0,219,21,93,91,36,1,219,2,2,100.0,0,0.0,91,386,155,3,3,0,1,1,133,6,Matches
Jack Taylor,ieIRL,MF,Ipswich Town,26-234,1998,4.6,299,20,87,160,59,4,299,5,2,40.0,2,40.0,156,915,543,8,8,1,3,5,203,13,Matches
Kenny Tete,nlNED,DF,Fulham,29-126,1995,14.0,879,48,271,382,232,26,879,16,7,43.8,4,25.0,459,2287,1114,33,17,7,16,10,511,39,Matches
Thiago,brBRA,FW,Brentford,23-231,2001,1.5,56,6,11,23,23,2,56,3,2,66.7,1,33.3,34,119,42,3,2,1,5,1,35,4,Matches
Luke Thomas,engENG,DF,Leicester City,23-247,2001,2.0,130,6,58,51,21,4,130,0,0,,0,,61,159,79,1,0,1,1,0,66,5,Matches
Youri Tielemans,beBEL,MF,Aston Villa,27-281,1997,22.7,1559,58,320,890,366,24,1558,41,21,51.2,13,31.7,828,3502,1627,27,15,7,24,19,1085,27,Matches
Kieran Tierney,sctSCO,"FW,DF",Arsenal,27-252,1997,0.2,7,0,0,3,4,1,7,0,0,,0,,2,22,18,1,0,1,0,0,4,0,Matches
Jurriën Timber,nlNED,DF,Arsenal,23-240,2001,19.5,1137,42,217,583,342,45,1137,39,17,43.6,18,46.2,601,2628,1333,32,16,5,19,16,697,62,Matches
Jean-Clair Todibo,frFRA,DF,West Ham,25-044,1999,9.6,571,103,339,222,15,6,571,10,6,60.0,4,40.0,327,1484,785,3,3,0,4,6,375,1,Matches
Harry Toffolo,engENG,DF,Nott'ham Forest,29-177,1995,0.5,44,3,13,10,21,2,44,0,0,,0,,10,21,11,0,0,0,0,0,18,4,Matches
Takehiro Tomiyasu,jpJPN,DF,Arsenal,26-099,1998,0.1,7,1,4,1,2,1,7,0,0,,0,,1,7,5,0,0,0,0,0,2,0,Matches
Sandro Tonali,itITA,MF,Newcastle Utd,24-280,2000,16.2,998,33,227,570,220,28,998,19,9,47.4,7,36.8,567,3021,1295,23,24,3,18,19,698,34,Matches
Pau Torres,esESP,DF,Aston Villa,28-027,1997,17.2,1165,176,542,555,74,13,1165,14,13,92.9,1,7.1,734,4934,3293,31,19,0,3,3,836,4,Matches
Conor Townsend,engENG,"DF,MF",Ipswich Town,31-345,1993,0.5,37,5,17,12,8,1,37,0,0,,0,,14,72,46,0,0,0,2,0,20,2,Matches
Adama Traoré,esESP,FW,Fulham,29-018,1996,12.6,527,1,51,181,310,72,527,62,32,51.6,21,33.9,365,3038,1742,68,28,30,22,12,411,105,Matches
Mark Travers,ieIRL,GK,Bournemouth,25-270,1999,5.0,162,144,159,3,0,0,162,0,0,,0,,85,426,188,0,0,0,0,0,68,0,Matches
Ryan Trevitt,engENG,MF,Brentford,21-337,2003,0.0,7,1,2,4,1,0,7,0,0,,0,,4,7,2,0,0,0,0,0,4,1,Matches
Kieran Trippier,engENG,DF,Newcastle Utd,34-146,1990,6.0,624,21,195,268,165,5,624,2,1,50.0,1,50.0,315,1074,589,10,2,3,4,4,407,27,Matches
Leandro Trossard,beBEL,FW,Arsenal,30-070,1994,16.1,714,12,95,213,421,84,714,54,23,42.6,26,48.1,453,2965,1333,52,34,18,29,31,519,124,Matches
Kostas Tsimikas,grGRE,DF,Liverpool,28-276,1996,3.8,339,19,90,150,100,3,339,2,2,100.0,0,0.0,153,694,433,9,4,1,3,2,207,15,Matches
Axel Tuanzebe,cdCOD,DF,Ipswich Town,27-090,1997,10.9,552,53,228,251,77,6,552,6,3,50.0,3,50.0,237,1029,433,4,6,1,8,1,296,5,Matches
Destiny Udogie,itITA,DF,Tottenham,22-076,2002,15.9,1057,42,270,467,330,41,1057,25,10,40.0,12,48.0,575,3156,1789,39,29,8,24,16,636,79,Matches
Manuel Ugarte Ribeiro,uyURU,MF,Manchester Utd,23-307,2001,12.0,704,34,207,403,103,7,704,16,8,50.0,5,31.3,391,1673,697,7,8,0,21,16,433,10,Matches
Lesley Ugochukwu,frFRA,MF,Southampton,20-323,2004,8.3,435,24,91,266,82,9,435,15,11,73.3,3,20.0,230,1285,577,15,8,3,4,8,292,11,Matches
Enes Ünal,trTUR,"FW,MF",Bournemouth,27-278,1997,3.8,172,6,14,63,95,26,172,12,1,8.3,10,83.3,91,261,95,4,3,1,17,13,133,22,Matches
Virgil van Dijk,nlNED,DF,Liverpool,33-219,1991,23.0,1973,265,793,1074,113,34,1973,4,3,75.0,1,25.0,1130,5377,2913,11,12,2,3,2,1371,4,Matches
Jamie Vardy,engENG,FW,Leicester City,38-032,1987,19.7,375,19,36,164,178,80,374,17,7,41.2,9,52.9,176,817,368,18,6,10,23,9,246,76,Matches
Renato Veiga,ptPOR,"DF,MF",Chelsea,21-198,2003,2.0,167,2,61,82,27,3,167,5,3,60.0,2,40.0,85,414,141,4,5,1,1,0,110,3,Matches
Joël Veltman,nlNED,DF,Brighton,33-028,1992,17.3,1064,58,314,524,236,9,1064,15,4,26.7,5,33.3,515,2719,1413,29,22,3,19,7,589,31,Matches
Micky van de Ven,nlNED,DF,Tottenham,23-299,2001,8.8,716,79,373,319,32,8,716,6,4,66.7,2,33.3,504,2357,1129,8,10,1,4,4,520,1,Matches
Bart Verbruggen,nlNED,GK,Brighton,22-178,2002,22.0,883,719,874,9,0,0,883,2,2,100.0,0,0.0,588,2169,1098,0,1,1,2,0,559,0,Matches
Jannik Vestergaard,dkDEN,DF,Leicester City,32-193,1992,14.0,995,180,528,445,27,9,995,4,4,100.0,0,0.0,610,2609,1296,2,3,0,2,0,695,2,Matches
Guglielmo Vicario,itITA,GK,Tottenham,28-128,1996,12.0,487,311,477,10,0,0,487,1,1,100.0,0,0.0,355,1725,929,0,0,0,0,0,322,0,Matches
Carlos Vinícius,brBRA,MF,Fulham,29-324,1995,0.0,3,0,0,1,2,2,3,1,1,100.0,0,0.0,3,10,9,1,0,1,0,0,2,1,Matches
Kyle Walker,engENG,DF,Manchester City,34-260,1990,10.8,892,26,197,473,228,5,892,6,3,50.0,2,33.3,499,2284,1106,12,13,0,9,2,630,11,Matches
Kyle Walker-Peters,engENG,DF,Southampton,27-305,1997,21.8,1447,111,439,630,387,44,1447,60,22,36.7,29,48.3,901,5659,3100,84,49,20,20,28,1034,93,Matches
Christian Walton,engENG,GK,Ipswich Town,29-095,1995,6.0,242,224,241,1,0,0,242,0,0,,0,,122,572,305,0,0,0,0,0,117,0,Matches
Aaron Wan-Bissaka,engENG,DF,West Ham,27-078,1997,22.0,1341,99,428,578,360,30,1341,71,37,52.1,25,35.2,624,4227,2424,68,38,8,19,15,769,90,Matches
Danny Ward,wlsWAL,GK,Leicester City,31-235,1993,1.5,55,40,55,0,0,0,55,1,0,0.0,1,100.0,44,176,107,0,0,0,0,0,35,0,Matches
James Ward-Prowse,engENG,MF,West Ham,30-103,1994,0.2,16,0,3,11,2,0,16,0,0,,0,,6,38,30,1,0,0,0,0,8,0,Matches
James Ward-Prowse,engENG,MF,Nott'ham Forest,30-103,1994,4.4,205,13,49,115,45,1,205,0,0,,0,,92,407,170,1,3,0,3,3,115,3,Matches
Ollie Watkins,engENG,FW,Aston Villa,29-044,1995,18.2,433,10,26,158,255,114,431,31,6,19.4,22,71.0,265,1396,670,32,14,24,34,34,350,104,Matches
Adam Webster,engENG,DF,Brighton,30-039,1995,1.9,199,17,86,104,9,3,199,2,1,50.0,1,50.0,134,778,457,1,2,0,1,0,145,2,Matches
Danny Welbeck,engENG,FW,Brighton,34-078,1990,15.1,468,9,37,217,218,61,468,25,9,36.0,14,56.0,272,1314,555,15,18,5,31,19,345,54,Matches
Welington,brBRA,DF,Southampton,23-359,2001,0.9,46,3,16,12,19,1,46,2,2,100.0,0,0.0,15,74,45,1,2,1,3,0,17,5,Matches
Timo Werner,deGER,"FW,MF",Tottenham,28-343,1996,5.6,294,8,23,78,200,33,294,19,10,52.6,8,42.1,211,1750,1050,42,24,18,14,6,223,87,Matches
Adam Wharton,engENG,MF,Crystal Palace,20-255,2004,6.9,440,13,99,235,109,6,440,7,1,14.3,6,85.7,227,984,523,7,10,2,5,10,268,6,Matches
Ben White,engENG,DF,Arsenal,27-127,1997,7.7,419,37,137,191,93,7,419,2,0,0.0,1,50.0,193,672,332,4,7,1,7,3,245,15,Matches
Mats Wieffer,nlNED,MF,Brighton,25-088,1999,5.2,411,23,97,247,73,9,411,9,4,44.4,5,55.6,237,1035,433,5,6,0,7,7,270,8,Matches
Neco Williams,wlsWAL,DF,Nott'ham Forest,23-305,2001,14.8,752,87,293,265,204,21,752,28,10,35.7,12,42.9,318,1951,969,36,17,9,13,10,348,44,Matches
Joe Willock,engENG,"MF,FW",Newcastle Utd,25-176,1999,6.9,313,8,41,129,147,28,313,20,8,40.0,9,45.0,201,1168,543,20,15,7,25,16,229,49,Matches
Callum Wilson,engENG,"FW,MF",Newcastle Utd,32-351,1992,0.7,15,0,0,10,5,3,15,2,0,0.0,1,50.0,12,42,7,0,0,0,1,5,9,3,Matches
Harry Wilson,wlsWAL,"FW,MF",Fulham,27-327,1997,9.3,436,7,58,160,226,44,436,23,9,39.1,9,39.1,263,1376,610,16,17,8,13,4,295,71,Matches
Harry Winks,engENG,MF,Leicester City,29-010,1996,16.2,1057,46,259,672,140,1,1057,10,2,20.0,7,70.0,639,2956,1340,15,12,0,12,8,750,10,Matches
Ben Winterburn,engENG,MF,Bournemouth,20-161,2004,0.1,2,0,0,1,1,0,2,0,0,,0,,1,1,0,0,0,0,0,0,1,0,Matches
Yoane Wissa,cdCOD,FW,Brentford,28-162,1996,18.5,554,19,85,233,248,88,554,28,9,32.1,13,46.4,335,2058,996,37,15,19,42,16,396,89,Matches
Chris Wood,nzNZL,FW,Nott'ham Forest,33-067,1991,21.3,498,21,54,244,201,65,495,10,4,40.0,5,50.0,252,943,371,12,7,4,47,15,380,58,Matches
Nathan Wood-Gordon,engENG,DF,Southampton,22-257,2002,6.4,434,53,209,199,27,2,434,5,3,60.0,1,20.0,243,1105,429,2,6,0,4,1,325,0,Matches
Luke Woolfenden,engENG,DF,Ipswich Town,26-114,1998,8.2,441,103,263,171,7,2,441,0,0,,0,,236,1167,604,4,3,0,1,0,282,0,Matches
Yehor Yarmoliuk,uaUKR,"MF,FW",Brentford,20-348,2004,6.9,446,35,135,211,109,11,446,17,9,52.9,6,35.3,228,1357,484,11,11,2,13,11,264,33,Matches
Ryan Yates,engENG,MF,Nott'ham Forest,27-083,1997,16.2,791,56,203,381,214,31,791,15,7,46.7,5,33.3,331,1530,650,12,14,1,18,17,421,11,Matches
Leny Yoro,frFRA,DF,Manchester Utd,19-091,2005,6.1,409,35,192,193,25,9,409,0,0,,0,,275,1124,486,3,1,0,1,0,299,2,Matches
Ashley Young,engENG,DF,Everton,39-218,1985,16.5,962,47,300,411,256,5,962,11,4,36.4,6,54.5,378,1967,1159,17,24,1,6,1,488,20,Matches
Illia Zabarnyi,uaUKR,DF,Bournemouth,22-164,2002,24.0,1409,168,669,710,48,10,1409,7,4,57.1,2,28.6,866,5540,3219,18,13,0,12,3,866,3,Matches
Oleksandr Zinchenko,uaUKR,"DF,MF",Arsenal,28-059,1996,2.7,226,8,52,126,49,9,226,1,1,100.0,0,0.0,126,664,282,5,3,2,2,2,144,6,Matches
Joshua Zirkzee,nlNED,"FW,MF",Manchester Utd,23-266,2001,9.8,368,9,36,185,149,41,368,19,6,31.6,13,68.4,204,857,287,5,9,3,21,20,271,46,Matches
Martin Ødegaard,noNOR,MF,Arsenal,26-057,1998,14.3,871,3,52,366,461,65,870,32,15,46.9,16,50.0,604,3477,1731,40,38,13,18,29,688,80,Matches
