,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG
Flynn Downes,engENG,MF,Southampton,26-023,1999,15.9,1,9,3,33.3,0.57,0.19,0.11,0.33,17.6,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
Tommy Doyle,engENG,MF,Wolves,23-118,2001,5.1,0,8,2,25.0,1.56,0.39,0.00,0.00,24.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Radu Drăgușin,roROU,DF,Tottenham,23-009,2002,13.9,0,5,1,20.0,0.36,0.07,0.00,0.00,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Martin Dúbravka,skSVK,GK,Newcastle Utd,36-028,1989,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lewis Dunk,engENG,DF,Brighton,33-083,1991,17.4,0,10,2,20.0,0.58,0.12,0.00,0.00,13.4,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Jáder Durán,coCOL,FW,Aston Villa,21-061,2003,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,+2.1,+2.1,Matches
Ederson,brBRA,GK,Manchester City,31-179,1993,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
George Edmundson,engENG,DF,Ipswich Town,27-165,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Odsonne Édouard,frFRA,"MF,FW",Crystal Palace,27-027,1998,1.3,0,5,1,20.0,3.91,0.78,0.00,0.00,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Odsonne Édouard,frFRA,FW,Leicester City,27-027,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Samuel Edozie,engENG,"DF,FW",Southampton,22-015,2003,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ronnie Edwards,engENG,DF,Southampton,21-321,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Anthony Elanga,seSWE,"FW,MF",Nott'ham Forest,22-291,2002,16.2,3,28,13,46.4,1.73,0.80,0.11,0.23,17.4,4,0,0,2.6,2.6,0.09,+0.4,+0.4,Matches
Harvey Elliott,engENG,"MF,FW",Liverpool,21-314,2003,0.9,0,2,0,0.0,2.20,0.00,0.00,,13.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Yunus Emre Konak,trTUR,"MF,FW",Brentford,19-033,2006,0.2,0,1,0,0.0,4.29,0.00,0.00,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
Julio Enciso,pyPAR,MF,Ipswich Town,21-020,2004,1.1,0,6,2,33.3,5.40,1.80,0.00,0.00,23.9,1,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Julio Enciso,pyPAR,"MF,FW",Brighton,21-020,2004,3.3,0,20,11,55.0,6.12,3.37,0.00,0.00,21.3,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
Wataru Endo,jpJPN,MF,Liverpool,32-003,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Christian Eriksen,dkDEN,MF,Manchester Utd,32-364,1992,7.1,0,3,0,0.0,0.42,0.00,0.00,,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Romain Esse,engENG,MF,Crystal Palace,19-275,2005,0.1,1,1,1,100.0,12.86,12.86,1.00,1.00,2.8,0,0,0,0.3,0.3,0.32,+0.7,+0.7,Matches
Pervis Estupiñán,ecECU,DF,Brighton,27-022,1998,15.7,0,14,4,28.6,0.89,0.25,0.00,0.00,25.5,2,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Evanilson,brBRA,FW,Bournemouth,25-129,1999,15.2,5,42,20,47.6,2.76,1.31,0.12,0.25,13.5,0,0,1,6.6,5.8,0.14,-1.6,-0.8,Matches
Jonny Evans,nirNIR,DF,Manchester Utd,37-040,1988,3.2,0,1,0,0.0,0.31,0.00,0.00,,8.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Eberechi Eze,engENG,"MF,FW",Crystal Palace,26-228,1998,17.9,2,65,19,29.2,3.63,1.06,0.03,0.11,20.9,10,0,0,4.9,4.9,0.08,-2.9,-2.9,Matches
Łukasz Fabiański,plPOL,GK,West Ham,39-300,1985,11.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Wout Faes,beBEL,DF,Leicester City,26-315,1998,18.3,1,9,1,11.1,0.49,0.05,0.11,1.00,8.4,0,0,0,1.1,1.1,0.13,-0.1,-0.1,Matches
Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,20-341,2004,6.4,0,13,5,38.5,2.02,0.78,0.00,0.00,31.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
João Félix,ptPOR,"FW,MF",Chelsea,25-094,1999,4.1,1,20,5,25.0,4.88,1.22,0.05,0.20,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
Evan Ferguson,ieIRL,FW,Brighton,20-116,2004,2.7,1,7,2,28.6,2.56,0.73,0.14,0.50,19.2,1,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
Bruno Fernandes,ptPOR,MF,Manchester Utd,30-157,1994,21.4,5,61,15,24.6,2.85,0.70,0.03,0.13,21.0,7,3,3,7.8,5.5,0.09,-2.8,-3.5,Matches
Mateus Fernandes,ptPOR,MF,Southampton,20-217,2004,19.3,1,25,10,40.0,1.29,0.52,0.04,0.10,16.4,3,0,0,3.1,3.1,0.12,-2.1,-2.1,Matches
Enzo Fernández,arARG,MF,Chelsea,24-026,2001,18.8,3,27,9,33.3,1.44,0.48,0.11,0.33,17.8,2,0,0,2.9,2.9,0.11,+0.1,+0.1,Matches
Mark Flekken,nlNED,GK,Brentford,31-244,1993,22.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Phil Foden,engENG,"MF,FW",Manchester City,24-260,2000,15.2,7,45,14,31.1,2.97,0.92,0.16,0.50,18.1,1,0,0,4.6,4.6,0.10,+2.4,+2.4,Matches
Wesley Fofana,frFRA,DF,Chelsea,24-057,2000,11.3,0,2,0,0.0,0.18,0.00,0.00,,10.4,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches
Carlos Forbs,ptPOR,"MF,FW",Wolves,20-330,2004,2.6,0,2,0,0.0,0.76,0.00,0.00,,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Fraser Forster,engENG,GK,Tottenham,36-332,1988,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ryan Fraser,sctSCO,"FW,DF",Southampton,30-354,1994,3.4,0,1,1,100.0,0.29,0.29,0.00,0.00,31.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Niclas Füllkrug,deGER,FW,West Ham,32-003,1993,4.1,2,8,3,37.5,1.95,0.73,0.25,0.67,10.3,0,0,0,1.4,1.4,0.18,+0.6,+0.6,Matches
Cody Gakpo,nlNED,FW,Liverpool,25-281,1999,14.5,8,42,17,40.5,2.90,1.18,0.19,0.47,15.6,0,0,0,5.5,5.5,0.13,+2.5,+2.5,Matches
Idrissa Gana Gueye,snSEN,MF,Everton,35-139,1989,19.5,0,20,3,15.0,1.02,0.15,0.00,0.00,25.1,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
Andrés García,esESP,DF,Aston Villa,22-005,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alejandro Garnacho,arARG,"FW,MF",Manchester Utd,20-226,2004,14.7,3,51,19,37.3,3.47,1.29,0.06,0.16,16.4,0,0,0,5.1,5.1,0.10,-2.1,-2.1,Matches
James Garner,engENG,"DF,MF",Everton,23-336,2001,3.9,0,3,1,33.3,0.78,0.26,0.00,0.00,23.3,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Tyrique George,engENG,FW,Chelsea,19-008,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Morgan Gibbs-White,engENG,MF,Nott'ham Forest,25-016,2000,17.4,5,35,15,42.9,2.01,0.86,0.14,0.33,15.9,3,0,0,3.3,3.3,0.10,+1.7,+1.7,Matches
Billy Gilmour,sctSCO,MF,Brighton,23-246,2001,1.1,0,1,0,0.0,0.92,0.00,0.00,,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Ben Godfrey,engENG,DF,Ipswich Town,27-028,1998,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Martial Godo,engENG,FW,Fulham,21-335,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
João Gomes,brBRA,MF,Wolves,24-000,2001,20.6,2,17,6,35.3,0.83,0.29,0.12,0.33,18.9,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
Rodrigo Gomes,ptPOR,"DF,FW",Wolves,21-220,2003,6.3,1,4,2,50.0,0.63,0.32,0.25,0.50,15.9,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
Toti Gomes,ptPOR,DF,Wolves,26-027,1999,15.0,0,2,0,0.0,0.13,0.00,0.00,,25.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Diego Gómez,pyPAR,MF,Brighton,21-322,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joe Gomez,engENG,DF,Liverpool,27-265,1997,5.8,0,3,2,66.7,0.52,0.35,0.00,0.00,11.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Anthony Gordon,engENG,FW,Newcastle Utd,23-354,2001,20.6,6,49,15,30.6,2.38,0.73,0.10,0.33,16.3,0,1,2,7.4,5.8,0.12,-1.4,-0.8,Matches
Ryan Gravenberch,nlNED,MF,Liverpool,22-272,2002,22.1,0,13,3,23.1,0.59,0.14,0.00,0.00,23.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Archie Gray,engENG,DF,Tottenham,18-337,2006,10.7,0,1,1,100.0,0.09,0.09,0.00,0.00,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jack Grealish,engENG,"FW,MF",Manchester City,29-155,1995,6.8,0,13,4,30.8,1.92,0.59,0.00,0.00,16.7,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Jacob Greaves,engENG,DF,Ipswich Town,24-153,2000,14.0,1,7,3,42.9,0.50,0.21,0.14,0.33,9.1,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
Brajan Gruda,deGER,"FW,MF",Brighton,20-257,2004,4.1,0,3,2,66.7,0.74,0.49,0.00,0.00,18.6,2,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
Albert Grønbaek,dkDEN,MF,Southampton,23-265,2001,0.8,0,2,0,0.0,2.61,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Gonçalo Guedes,ptPOR,"MF,FW",Wolves,28-075,1996,7.7,2,18,7,38.9,2.33,0.91,0.11,0.29,19.9,0,0,0,2.2,2.2,0.12,-0.2,-0.2,Matches
Marc Guéhi,engENG,DF,Crystal Palace,24-214,2000,23.0,3,10,5,50.0,0.43,0.22,0.30,0.60,9.3,0,0,0,1.5,1.5,0.15,+1.5,+1.5,Matches
Luis Guilherme,brBRA,"MF,FW",West Ham,19-003,2006,0.6,0,1,0,0.0,1.67,0.00,0.00,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Bruno Guimarães,brBRA,MF,Newcastle Utd,27-088,1997,23.2,2,28,6,21.4,1.21,0.26,0.07,0.33,18.3,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches
Marc Guiu,esESP,FW,Chelsea,19-039,2006,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
İlkay Gündoğan,deGER,MF,Manchester City,34-111,1990,14.9,0,16,4,25.0,1.07,0.27,0.00,0.00,18.4,2,0,0,1.6,1.6,0.10,-1.6,-1.6,Matches
Malo Gusto,frFRA,DF,Chelsea,21-269,2003,14.5,0,17,2,11.8,1.18,0.14,0.00,0.00,20.7,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
Joško Gvardiol,hrCRO,DF,Manchester City,23-020,2002,22.5,5,34,11,32.4,1.51,0.49,0.15,0.45,13.4,0,0,0,4.2,3.8,0.11,+0.8,+1.2,Matches
Erling Haaland,noNOR,FW,Manchester City,24-206,2000,23.6,19,90,50,55.6,3.81,2.12,0.20,0.36,12.1,1,1,2,18.2,16.6,0.19,+0.8,+1.4,Matches
Lewis Hall,engENG,DF,Newcastle Utd,20-157,2004,21.3,0,11,1,9.1,0.52,0.05,0.00,0.00,18.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Ali Al Hamadi,iqIRQ,FW,Ipswich Town,22-348,2002,1.5,0,4,0,0.0,2.69,0.00,0.00,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Marcus Harness,engENG,MF,Ipswich Town,28-354,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jack Harrison,engENG,FW,Everton,28-084,1996,11.1,0,16,4,25.0,1.44,0.36,0.00,0.00,15.5,0,0,0,2.2,2.2,0.14,-2.2,-2.2,Matches
Taylor Harwood-Bellis,engENG,DF,Southampton,23-013,2002,21.1,1,16,6,37.5,0.76,0.28,0.06,0.17,10.3,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches
Kai Havertz,deGER,"FW,MF",Arsenal,25-246,1999,20.4,9,52,21,40.4,2.54,1.03,0.17,0.43,11.7,0,0,0,9.4,9.4,0.18,-0.4,-0.4,Matches
Jan Paul van Hecke,nlNED,DF,Brighton,24-249,2000,20.9,0,10,2,20.0,0.48,0.10,0.00,0.00,15.6,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Hwang Hee-chan,krKOR,"MF,FW",Wolves,29-017,1996,6.9,2,5,3,60.0,0.73,0.44,0.40,0.67,17.4,0,0,0,0.8,0.8,0.16,+1.2,+1.2,Matches
Dean Henderson,engENG,GK,Crystal Palace,27-337,1997,24.0,0,1,0,0.0,0.04,0.00,0.00,,14.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Rico Henry,engENG,DF,Brentford,27-219,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mads Hermansen,dkDEN,GK,Leicester City,24-216,2000,16.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Son Heung-min,krKOR,FW,Tottenham,32-219,1992,17.6,6,41,21,51.2,2.33,1.19,0.15,0.29,17.7,1,0,1,5.0,4.3,0.11,+1.0,+1.7,Matches
James Hill,engENG,"DF,MF",Bournemouth,23-033,2002,2.0,0,1,0,0.0,0.50,0.00,0.00,,26.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Jack Hinshelwood,engENG,"MF,DF",Brighton,19-307,2005,10.0,1,8,3,37.5,0.80,0.30,0.13,0.33,15.5,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Matches
George Hirst,engENG,FW,Ipswich Town,25-363,1999,2.4,1,4,3,75.0,1.64,1.23,0.25,0.33,9.6,0,0,0,1.0,1.0,0.24,0.0,0.0,Matches
Mason Holgate,engENG,"FW,DF",Everton,28-113,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Callum Hudson-Odoi,engENG,"FW,MF",Nott'ham Forest,24-097,2000,16.9,3,27,10,37.0,1.59,0.59,0.11,0.30,18.6,0,0,0,1.9,1.9,0.07,+1.1,+1.1,Matches
Will Hughes,engENG,MF,Crystal Palace,29-301,1995,15.7,0,14,1,7.1,0.89,0.06,0.00,0.00,22.7,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Dean Huijsen,esESP,DF,Bournemouth,19-304,2005,13.8,2,11,2,18.2,0.80,0.14,0.18,1.00,10.1,0,0,0,1.5,1.5,0.13,+0.5,+0.5,Matches
Omari Hutchinson,engENG,"MF,FW",Ipswich Town,21-105,2003,20.7,2,29,13,44.8,1.40,0.63,0.07,0.15,20.5,2,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
Rasmus Højlund,dkDEN,FW,Manchester Utd,22-008,2003,12.3,2,13,6,46.2,1.05,0.49,0.15,0.33,14.3,0,0,0,2.4,2.4,0.19,-0.4,-0.4,Matches
Igor,brBRA,DF,Brighton,27-005,1998,10.0,0,1,0,0.0,0.10,0.00,0.00,,14.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Danny Ings,engENG,"FW,MF",West Ham,32-204,1992,3.1,1,14,5,35.7,4.55,1.62,0.07,0.20,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3,Matches
Tim Iroegbunam,engENG,MF,Everton,21-227,2003,4.4,0,4,0,0.0,0.92,0.00,0.00,,20.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Andy Irving,sctSCO,MF,West Ham,24-275,2000,1.8,0,4,2,50.0,2.18,1.09,0.00,0.00,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Alexander Isak,seSWE,FW,Newcastle Utd,25-144,1999,20.0,17,63,30,47.6,3.15,1.50,0.25,0.53,14.6,3,1,1,14.1,13.4,0.21,+2.9,+2.6,Matches
Alex Iwobi,ngNGA,"FW,MF",Fulham,28-285,1996,22.4,7,45,21,46.7,2.01,0.94,0.16,0.33,17.9,0,0,0,3.3,3.3,0.07,+3.7,+3.7,Matches
Nicolas Jackson,snSEN,FW,Chelsea,23-237,2001,19.3,9,63,30,47.6,3.27,1.56,0.14,0.30,12.2,0,0,0,11.4,11.4,0.18,-2.4,-2.4,Matches
Reece James,engENG,DF,Chelsea,25-066,1999,5.4,1,4,1,25.0,0.74,0.19,0.25,1.00,23.8,1,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
Vitaly Janelt,deGER,MF,Brentford,26-278,1998,19.1,1,12,4,33.3,0.63,0.21,0.08,0.25,19.4,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
Vitezslav Jaros,czCZE,GK,Liverpool,23-204,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Jebbison,engENG,"FW,MF",Bournemouth,21-183,2003,0.7,0,2,1,50.0,3.05,1.53,0.00,0.00,12.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
Mathias Jensen,dkDEN,MF,Brentford,29-042,1996,7.8,0,6,1,16.7,0.77,0.13,0.00,0.00,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Gabriel Jesus,brBRA,FW,Arsenal,27-315,1997,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0,Matches
Raúl Jiménez,mxMEX,FW,Fulham,33-283,1991,16.9,9,59,20,33.9,3.49,1.18,0.10,0.30,14.5,0,3,3,8.6,6.3,0.11,+0.4,-0.3,Matches
Kim Jisoo,krKOR,DF,Brentford,20-050,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
João Pedro,brBRA,"FW,MF",Brighton,23-139,2001,14.9,5,30,12,40.0,2.01,0.81,0.13,0.33,16.3,0,1,1,4.0,3.2,0.11,+1.0,+0.8,Matches
Joelinton,brBRA,"MF,FW",Newcastle Utd,28-182,1996,21.3,4,39,11,28.2,1.83,0.52,0.10,0.36,13.9,0,0,0,3.7,3.7,0.09,+0.3,+0.3,Matches
Ben Johnson,engENG,"DF,FW",Ipswich Town,25-019,2000,9.2,0,3,2,66.7,0.33,0.22,0.00,0.00,14.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Brennan Johnson,wlsWAL,FW,Tottenham,23-265,2001,16.6,7,45,16,35.6,2.71,0.97,0.16,0.44,11.7,0,0,0,8.0,8.0,0.18,-1.0,-1.0,Matches
Sam Johnstone,engENG,GK,Wolves,31-324,1993,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Curtis Jones,engENG,MF,Liverpool,24-013,2001,10.3,3,21,10,47.6,2.04,0.97,0.14,0.30,15.2,0,0,0,3.3,3.3,0.16,-0.3,-0.3,Matches
Jorginho,itITA,MF,Arsenal,33-054,1991,5.1,0,1,0,0.0,0.20,0.00,0.00,,22.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Diogo Jota,ptPOR,FW,Liverpool,28-070,1996,7.0,5,25,10,40.0,3.58,1.43,0.20,0.50,12.3,0,0,0,4.9,4.9,0.19,+0.1,+0.1,Matches
James Justin,engENG,DF,Leicester City,26-355,1998,22.0,2,22,6,27.3,1.00,0.27,0.09,0.33,15.1,1,0,0,1.4,1.4,0.06,+0.6,+0.6,Matches
Filip Jørgensen,dkDEN,GK,Chelsea,22-302,2002,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ferdi Kadioglu,trTUR,"DF,MF",Brighton,25-128,1999,4.3,1,4,1,25.0,0.94,0.23,0.25,1.00,15.1,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
Daichi Kamada,jpJPN,MF,Crystal Palace,28-191,1996,10.4,0,13,4,30.8,1.25,0.39,0.00,0.00,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Boubacar Kamara,frFRA,MF,Aston Villa,25-081,1999,11.5,0,5,1,20.0,0.43,0.09,0.00,0.00,20.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Michael Kayode,itITA,DF,Brentford,20-217,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Michael Keane,engENG,DF,Everton,32-032,1993,9.0,2,8,3,37.5,0.89,0.33,0.25,0.67,14.8,0,0,0,0.4,0.4,0.05,+1.6,+1.6,Matches
Caoimhín Kelleher,ieIRL,GK,Liverpool,26-081,1998,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lloyd Kelly,engENG,DF,Newcastle Utd,26-129,1998,3.4,0,3,0,0.0,0.89,0.00,0.00,,7.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
Milos Kerkez,huHUN,DF,Bournemouth,21-097,2003,23.2,2,13,3,23.1,0.56,0.13,0.15,0.67,20.9,0,0,0,0.4,0.4,0.03,+1.6,+1.6,Matches
Bilal El Khannouss,maMAR,MF,Leicester City,20-278,2004,12.2,2,14,3,21.4,1.15,0.25,0.14,0.67,23.9,0,0,0,0.5,0.5,0.04,+1.5,+1.5,Matches
Abdukodir Khusanov,uzUZB,DF,Manchester City,20-349,2004,0.6,0,1,0,0.0,1.70,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Max Kilman,engENG,DF,West Ham,27-265,1997,23.2,0,10,2,20.0,0.43,0.09,0.00,0.00,7.9,0,0,0,1.4,1.4,0.14,-1.4,-1.4,Matches
Joshua King,engENG,"MF,FW",Fulham,18-040,2007,0.9,0,1,0,0.0,1.13,0.00,0.00,,5.3,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches
Antonín Kinský,czCZE,GK,Tottenham,21-336,2003,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jakub Kiwior,plPOL,DF,Arsenal,24-363,2000,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Justin Kluivert,nlNED,"MF,FW",Bournemouth,25-283,1999,17.0,11,43,19,44.2,2.53,1.12,0.12,0.26,20.0,0,6,6,8.8,4.1,0.10,+2.2,+0.9,Matches
Ibrahima Konaté,frFRA,DF,Liverpool,25-263,1999,15.5,1,11,2,18.2,0.71,0.13,0.09,0.50,11.2,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches
Ezri Konsa,engENG,DF,Aston Villa,27-112,1997,21.1,1,5,2,40.0,0.24,0.09,0.20,0.50,9.1,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches
