,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A
Ben Mee,engENG,DF,Brentford,35-144,1989,6,2,177,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jayden Meghoma,engENG,DF,Brentford,18-229,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mikel Merino,esESP,MF,Arsenal,28-235,1996,16,8,767,8.5,2,1,3,2,0,0,2,0,2.2,2.2,0.9,3.1,5,42,47,0.23,0.12,0.35,0.23,0.35,0.25,0.11,0.36,0.25,0.36,Matches
Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-123,1997,23,23,"2,070",23.0,2,1,3,2,0,0,2,0,3.1,3.1,0.2,3.3,2,37,4,0.09,0.04,0.13,0.09,0.13,0.13,0.01,0.14,0.13,0.14,Matches
Lewis Miley,engENG,MF,Newcastle Utd,18-287,2006,5,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
James Milner,engENG,MF,Brighton,39-039,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches
Tyrone Mings,engENG,DF,Aston Villa,31-336,1993,6,5,468,5.2,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,17,0,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.04,0.07,Matches
Yankuba Minteh,gmGAM,"FW,MF",Brighton,20-205,2004,19,8,840,9.3,3,2,5,3,0,0,5,0,2.4,2.4,2.9,5.3,41,23,106,0.32,0.21,0.54,0.32,0.54,0.26,0.31,0.57,0.26,0.57,Matches
Tyrick Mitchell,engENG,DF,Crystal Palace,25-164,1999,24,24,"2,090",23.2,0,3,3,0,0,0,2,0,0.6,0.6,4.2,4.8,45,48,121,0.00,0.13,0.13,0.00,0.13,0.03,0.18,0.21,0.03,0.21,Matches
Kaoru Mitoma,jpJPN,"FW,MF",Brighton,27-268,1997,24,21,"1,890",21.0,5,3,8,5,0,0,0,0,5.1,5.1,4.3,9.3,110,66,230,0.24,0.14,0.38,0.24,0.38,0.24,0.20,0.44,0.24,0.44,Matches
Jakub Moder,plPOL,MF,Brighton,25-311,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.45,0.00,1.45,Matches
Mikey Moore,engENG,"FW,MF",Tottenham,17-185,2007,7,2,185,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,9,7,30,0.00,0.49,0.49,0.00,0.49,0.10,0.16,0.26,0.10,0.26,Matches
Morato,brBRA,DF,Nott'ham Forest,23-227,2001,17,3,534,5.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,10,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Álex Moreno,esESP,DF,Nott'ham Forest,31-249,1993,13,10,813,9.0,0,1,1,0,0,0,2,0,0.2,0.2,1.0,1.1,24,29,28,0.00,0.11,0.11,0.00,0.11,0.02,0.11,0.12,0.02,0.12,Matches
Sam Morsy,egEGY,MF,Ipswich Town,33-155,1991,22,21,"1,903",21.1,1,1,2,1,0,0,7,0,0.3,0.3,0.7,1.0,10,86,9,0.05,0.05,0.09,0.05,0.09,0.01,0.03,0.05,0.01,0.05,Matches
Yerson Mosquera,coCOL,DF,Wolves,23-286,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Mason Mount,engENG,"MF,FW",Manchester Utd,26-033,1999,8,4,247,2.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,2,8,5,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.18,0.14,0.18,Matches
Divin Mubama,engENG,FW,Manchester City,20-110,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Mykhailo Mudryk,uaUKR,FW,Chelsea,24-038,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73,Matches
Rodrigo Muniz,brBRA,FW,Fulham,23-284,2001,23,5,672,7.5,4,1,5,4,0,0,1,0,3.7,3.7,0.6,4.3,4,18,25,0.54,0.13,0.67,0.54,0.67,0.50,0.08,0.58,0.50,0.58,Matches
Daniel Muñoz,coCOL,DF,Crystal Palace,28-262,1996,23,23,"1,983",22.0,2,3,5,2,0,0,5,0,3.5,3.5,3.6,7.1,30,56,135,0.09,0.14,0.23,0.09,0.23,0.16,0.16,0.32,0.16,0.32,Matches
Arijanet Muric,xkKVX,GK,Ipswich Town,26-097,1998,18,18,"1,620",18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Murillo,brBRA,DF,Nott'ham Forest,22-223,2002,23,23,"2,028",22.5,1,0,1,1,0,0,5,0,1.1,1.1,1.1,2.1,12,68,4,0.04,0.00,0.04,0.04,0.04,0.05,0.05,0.09,0.05,0.09,Matches
Jacob Murphy,engENG,FW,Newcastle Utd,29-354,1995,21,17,"1,341",14.9,4,7,11,4,0,0,2,0,2.6,2.6,6.3,8.9,47,53,128,0.27,0.47,0.74,0.27,0.74,0.18,0.42,0.60,0.18,0.60,Matches
Vitaliy Mykolenko,uaUKR,DF,Everton,25-259,1999,21,21,"1,822",20.2,0,0,0,0,0,0,2,0,0.4,0.4,1.2,1.6,22,71,51,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
Iliman Ndiaye,snSEN,FW,Everton,24-343,2000,23,21,"1,853",20.6,6,0,6,5,1,1,3,0,3.6,2.8,1.5,4.3,71,38,95,0.29,0.00,0.29,0.24,0.24,0.17,0.07,0.25,0.14,0.21,Matches
Wilfred Ndidi,ngNGA,MF,Leicester City,28-058,1996,15,15,"1,215",13.5,0,4,4,0,0,0,4,0,1.4,1.4,1.4,2.8,9,37,49,0.00,0.30,0.30,0.00,0.30,0.10,0.10,0.20,0.10,0.20,Matches
Kosta Nedeljković,rsSRB,DF,Aston Villa,19-058,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Reiss Nelson,engENG,FW,Arsenal,25-064,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Reiss Nelson,engENG,FW,Fulham,25-064,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.20,0.18,0.39,0.20,0.39,Matches
Neto,brBRA,GK,Bournemouth,35-208,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pedro Neto,ptPOR,FW,Chelsea,24-340,2000,21,11,"1,130",12.6,2,2,4,2,0,0,6,0,1.1,1.1,2.6,3.7,75,25,109,0.16,0.16,0.32,0.16,0.32,0.09,0.21,0.30,0.09,0.30,Matches
Eddie Nketiah,engENG,"MF,FW",Crystal Palace,25-258,1999,17,6,627,7.0,0,1,1,0,0,0,3,0,1.7,1.7,1.3,3.0,30,13,51,0.00,0.14,0.14,0.00,0.14,0.24,0.18,0.42,0.24,0.42,Matches
Christopher Nkunku,frFRA,FW,Chelsea,27-090,1997,20,3,462,5.1,2,1,3,2,0,0,1,0,4.0,4.0,1.7,5.6,8,12,40,0.39,0.19,0.58,0.39,0.58,0.77,0.33,1.09,0.77,1.09,Matches
Matheus Nunes,ptPOR,"DF,MF",Manchester City,26-169,1998,16,10,890,9.9,0,4,4,0,0,0,2,0,0.5,0.5,2.9,3.4,39,34,121,0.00,0.40,0.40,0.00,0.40,0.05,0.29,0.34,0.05,0.34,Matches
Darwin Núñez,uyURU,FW,Liverpool,25-233,1999,18,7,825,9.2,4,2,6,4,0,0,6,0,3.4,3.4,0.9,4.3,19,18,59,0.44,0.22,0.65,0.44,0.65,0.37,0.10,0.47,0.37,0.47,Matches
Ethan Nwaneri,engENG,"MF,FW",Arsenal,17-328,2007,14,3,291,3.2,3,0,3,3,0,0,1,0,0.5,0.5,0.3,0.8,14,11,24,0.93,0.00,0.93,0.93,0.93,0.17,0.08,0.25,0.17,0.25,Matches
Christian Nørgaard,dkDEN,MF,Brentford,30-339,1994,21,21,"1,695",18.8,2,2,4,2,0,0,4,1,2.4,2.4,0.5,3.0,9,87,30,0.11,0.11,0.21,0.11,0.21,0.13,0.03,0.16,0.13,0.16,Matches
Jake O'Brien,ieIRL,DF,Everton,23-273,2001,6,3,311,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Matt O'Riley,dkDEN,MF,Brighton,24-083,2000,11,5,468,5.2,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,9,22,25,0.19,0.19,0.38,0.19,0.38,0.23,0.23,0.46,0.23,0.46,Matches
Dara O'Shea,ieIRL,DF,Ipswich Town,25-345,1999,21,21,"1,862",20.7,0,0,0,0,0,0,5,0,0.8,0.8,0.0,0.8,3,51,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Wilson Odobert,frFRA,FW,Tottenham,20-076,2004,3,2,162,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,13,10,18,0.00,0.00,0.00,0.00,0.00,0.23,0.03,0.27,0.23,0.27,Matches
Chiedozie Ogbene,ieIRL,FW,Ipswich Town,27-287,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Caleb Okoli,itITA,DF,Leicester City,23-214,2001,14,9,831,9.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,26,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Robin Olsen,seSWE,GK,Aston Villa,35-035,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Amadou Onana,beBEL,MF,Aston Villa,23-180,2001,17,14,"1,079",12.0,2,0,2,2,0,0,4,0,1.8,1.8,0.2,2.0,13,36,10,0.17,0.00,0.17,0.17,0.17,0.15,0.02,0.17,0.15,0.17,Matches
André Onana,cmCMR,GK,Manchester Utd,28-316,1996,24,24,"2,160",24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Paul Onuachu,ngNGA,FW,Southampton,30-260,1994,14,6,544,6.0,2,0,2,2,0,0,1,0,1.7,1.7,0.3,1.9,5,7,15,0.33,0.00,0.33,0.33,0.33,0.28,0.05,0.32,0.28,0.32,Matches
Frank Onyeka,ngNGA,MF,Brentford,27-042,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lewis Orford,engENG,MF,West Ham,18-360,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
Stefan Ortega,deGER,GK,Manchester City,32-098,1992,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
William Osula,dkDEN,"FW,MF",Newcastle Utd,21-192,2003,9,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,Matches
Dango Ouattara,bfBFA,FW,Bournemouth,23-001,2002,21,12,"1,241",13.8,6,4,10,6,0,0,1,0,5.8,5.8,4.0,9.8,48,25,132,0.44,0.29,0.73,0.44,0.73,0.42,0.29,0.71,0.42,0.71,Matches
Nico O’Reilly,engENG,MF,Manchester City,19-328,2005,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Cole Palmer,engENG,MF,Chelsea,22-282,2002,24,24,"2,099",23.3,14,6,20,11,3,3,4,0,12.3,9.9,8.2,18.1,80,139,124,0.60,0.26,0.86,0.47,0.73,0.53,0.35,0.88,0.43,0.78,Matches
Emerson Palmieri,itITA,DF,West Ham,30-193,1994,22,21,"1,632",18.1,2,1,3,2,0,0,5,0,1.6,1.6,1.5,3.1,31,45,63,0.11,0.06,0.17,0.11,0.17,0.09,0.08,0.17,0.09,0.17,Matches
Lucas Paquetá,brBRA,"MF,FW",West Ham,27-169,1997,22,19,"1,609",17.9,4,0,4,2,2,2,6,0,4.7,3.2,2.0,5.1,13,87,56,0.22,0.00,0.22,0.11,0.11,0.27,0.11,0.38,0.18,0.29,Matches
Thomas Partey,ghGHA,"MF,DF",Arsenal,31-244,1993,23,20,"1,853",20.6,3,2,5,3,0,0,2,0,1.6,1.6,1.6,3.2,18,121,26,0.15,0.10,0.24,0.15,0.24,0.08,0.08,0.15,0.08,0.15,Matches
Nathan Patterson,sctSCO,"DF,FW",Everton,23-119,2001,7,0,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,7,7,0.00,0.00,0.00,0.00,0.00,0.05,0.24,0.29,0.05,0.29,Matches
Andreas Pereira,brBRA,MF,Fulham,29-042,1996,21,16,"1,274",14.2,2,2,4,2,0,1,7,0,3.0,2.2,3.0,5.2,13,75,48,0.14,0.14,0.28,0.14,0.28,0.21,0.21,0.43,0.16,0.37,Matches
Ricardo Pereira,ptPOR,DF,Leicester City,31-129,1993,2,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kalvin Phillips,engENG,MF,Ipswich Town,29-072,1995,13,10,861,9.6,0,0,0,0,0,0,3,1,0.3,0.3,0.1,0.4,4,36,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Jaden Philogene Bidace,engENG,"FW,MF",Aston Villa,23-004,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.20,0.13,0.20,Matches
Jaden Philogene Bidace,engENG,"FW,MF",Ipswich Town,23-004,2002,3,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jordan Pickford,engENG,GK,Everton,30-342,1994,23,23,"2,070",23.0,0,1,1,0,0,0,6,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.02,0.02,0.00,0.02,Matches
Ethan Pinnock,jmJAM,DF,Brentford,31-259,1993,16,16,"1,440",16.0,2,0,2,2,0,0,2,0,0.9,0.9,1.2,2.0,2,33,8,0.12,0.00,0.12,0.12,0.12,0.05,0.07,0.13,0.05,0.13,Matches
Daniel Podence,ptPOR,"MF,FW",Wolves,29-114,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Alfie Pond,engENG,DF,Wolves,20-348,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nick Pope,engENG,GK,Newcastle Utd,32-299,1992,15,15,"1,350",15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pedro Porro,esESP,DF,Tottenham,25-152,1999,24,21,"1,988",22.1,2,5,7,2,0,0,2,0,1.5,1.5,2.7,4.1,53,121,82,0.09,0.23,0.32,0.09,0.32,0.07,0.12,0.19,0.07,0.19,Matches
Jarell Quansah,engENG,DF,Liverpool,22-014,2003,5,2,228,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Hákon Rafn Valdimarsson,isISL,GK,Brentford,23-122,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Ramsdale,engENG,GK,Southampton,26-274,1998,16,16,"1,440",16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jacob Ramsey,engENG,"FW,MF",Aston Villa,23-260,2001,16,11,"1,000",11.1,1,2,3,1,0,0,1,0,1.2,1.2,1.7,2.9,35,40,67,0.09,0.18,0.27,0.09,0.27,0.11,0.15,0.26,0.11,0.26,Matches
Marcus Rashford,engENG,"FW,MF",Manchester Utd,27-104,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches
David Raya,esESP,GK,Arsenal,29-150,1995,24,24,"2,160",24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Harrison Reed,engENG,MF,Fulham,30-016,1995,8,0,61,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,3,7,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13,Matches
Remy Rees-Dottin,engENG,FW,Bournemouth,18-343,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sergio Reguilón,esESP,DF,Tottenham,28-058,1996,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Bobby Reid,jmJAM,"FW,MF",Leicester City,32-010,1993,16,4,442,4.9,1,2,3,1,0,0,1,0,0.7,0.7,1.2,1.9,8,11,27,0.20,0.41,0.61,0.20,0.61,0.15,0.24,0.39,0.15,0.39,Matches
Chadi Riad,maMAR,DF,Crystal Palace,21-240,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Declan Rice,engENG,MF,Arsenal,26-029,1999,22,20,"1,741",19.3,1,5,6,1,0,0,5,1,1.5,1.5,5.2,6.7,61,130,55,0.05,0.26,0.31,0.05,0.31,0.08,0.27,0.35,0.08,0.35,Matches
Chris Richards,usUSA,DF,Crystal Palace,24-321,2000,13,11,978,10.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,23,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Richarlison,brBRA,FW,Tottenham,27-278,1997,9,2,279,3.1,2,1,3,2,0,0,1,0,1.2,1.2,0.9,2.1,8,10,17,0.65,0.32,0.97,0.65,0.97,0.38,0.29,0.67,0.38,0.67,Matches
Andrew Robertson,sctSCO,DF,Liverpool,30-338,1994,22,20,"1,650",18.3,0,0,0,0,0,0,2,1,0.5,0.5,3.3,3.8,43,124,66,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.21,0.03,0.21,Matches
Antonee Robinson,usUSA,DF,Fulham,27-188,1997,24,24,"2,160",24.0,0,10,10,0,0,0,5,0,0.7,0.7,3.4,4.1,84,89,193,0.00,0.42,0.42,0.00,0.42,0.03,0.14,0.17,0.03,0.17,Matches
Rodri,esESP,MF,Manchester City,28-235,1996,2,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
Guido Rodríguez,arARG,MF,West Ham,30-306,1994,19,14,"1,017",11.3,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,2,31,5,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Mads Roerslev,dkDEN,DF,Brentford,25-233,1999,19,11,"1,101",12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,17,51,54,0.00,0.16,0.16,0.00,0.16,0.02,0.24,0.26,0.02,0.26,Matches
Morgan Rogers,engENG,"MF,FW",Aston Villa,22-201,2002,23,23,"1,900",21.1,6,4,10,6,0,0,8,0,3.8,3.8,4.5,8.2,76,76,112,0.28,0.19,0.47,0.28,0.47,0.18,0.21,0.39,0.18,0.39,Matches
Cristian Romero,arARG,DF,Tottenham,26-291,1998,12,12,974,10.8,1,0,1,1,0,0,1,0,1.1,1.1,0.5,1.6,10,48,2,0.09,0.00,0.09,0.09,0.09,0.10,0.05,0.15,0.10,0.15,Matches
Georginio Rutter,frFRA,"FW,MF",Brighton,22-298,2002,23,14,"1,267",14.1,4,2,6,4,0,0,2,0,3.5,3.5,1.7,5.2,38,57,66,0.28,0.14,0.43,0.28,0.43,0.25,0.12,0.37,0.25,0.37,Matches
José Sá,ptPOR,GK,Wolves,32-026,1993,17,17,"1,530",17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Bukayo Saka,engENG,"FW,MF",Arsenal,23-160,2001,16,16,"1,268",14.1,5,10,15,4,1,1,3,0,4.2,3.4,5.8,9.2,72,53,195,0.35,0.71,1.06,0.28,0.99,0.30,0.41,0.71,0.24,0.65,Matches
Mohamed Salah,egEGY,FW,Liverpool,32-242,1992,23,23,"2,029",22.5,21,13,34,15,6,6,1,0,18.1,13.4,9.3,22.7,98,92,298,0.93,0.58,1.51,0.67,1.24,0.80,0.41,1.22,0.60,1.01,Matches
William Saliba,frFRA,DF,Arsenal,23-325,2001,22,22,"1,919",21.3,2,0,2,2,0,0,2,1,1.9,1.9,0.5,2.4,9,73,2,0.09,0.00,0.09,0.09,0.09,0.09,0.03,0.11,0.09,0.11,Matches
Robert Sánchez,esESP,GK,Chelsea,27-086,1997,21,21,"1,890",21.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jadon Sancho,engENG,FW,Chelsea,24-324,2000,18,13,"1,113",12.4,2,4,6,2,0,0,1,0,1.5,1.5,2.6,4.1,66,56,138,0.16,0.32,0.49,0.16,0.49,0.12,0.21,0.33,0.12,0.33,Matches
Ibrahim Sangaré,ciCIV,MF,Nott'ham Forest,27-072,1997,4,3,221,2.5,0,1,1,0,0,0,2,0,0.0,0.0,0.3,0.3,0,9,2,0.00,0.41,0.41,0.00,0.41,0.01,0.12,0.13,0.01,0.13,Matches
Pablo Sarabia,esESP,"MF,FW",Wolves,32-277,1992,10,5,427,4.7,1,1,2,1,0,0,2,0,2.3,2.3,0.6,2.9,9,27,32,0.21,0.21,0.42,0.21,0.42,0.48,0.13,0.61,0.48,0.61,Matches
Jeremy Sarmiento,ecECU,MF,Brighton,22-241,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ismaila Sarr,snSEN,"MF,FW",Crystal Palace,26-353,1998,24,17,"1,591",17.7,4,3,7,4,0,0,3,0,4.4,4.4,4.7,9.0,44,51,113,0.23,0.17,0.40,0.23,0.40,0.25,0.26,0.51,0.25,0.51,Matches
Sávio,brBRA,"FW,MF",Manchester City,20-308,2004,19,14,"1,170",13.0,1,6,7,1,0,0,2,0,3.1,3.1,5.3,8.3,94,52,153,0.08,0.46,0.54,0.08,0.54,0.24,0.40,0.64,0.24,0.64,Matches
Oliver Scarles,engENG,DF,West Ham,19-062,2005,6,0,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Dane Scarlett,engENG,FW,Tottenham,20-325,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Schade,deGER,FW,Brentford,23-077,2001,24,12,"1,165",12.9,6,2,8,6,0,0,2,0,4.6,4.6,2.3,6.9,34,24,89,0.46,0.15,0.62,0.46,0.62,0.36,0.17,0.53,0.36,0.53,Matches
Fabian Schär,chSUI,DF,Newcastle Utd,33-054,1991,20,19,"1,692",18.8,2,0,2,2,0,0,5,1,1.5,1.5,0.3,1.8,12,67,14,0.11,0.00,0.11,0.11,0.11,0.08,0.01,0.10,0.08,0.10,Matches
