,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A
Jeffrey Schlupp,ghGHA,"MF,DF",Crystal Palace,32-051,1992,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28,Matches
Alex Scott,engENG,MF,Bournemouth,21-175,2003,8,2,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,32,14,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Matches
Matz Sels,beBEL,GK,Nott'ham Forest,32-352,1992,24,24,"2,160",24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nélson Semedo,ptPOR,DF,Wolves,31-088,1993,20,19,"1,698",18.9,0,3,3,0,0,0,7,0,0.4,0.4,2.3,2.7,40,41,66,0.00,0.16,0.16,0.00,0.16,0.02,0.12,0.15,0.02,0.15,Matches
Antoine Semenyo,ghGHA,FW,Bournemouth,25-036,2000,23,23,"2,016",22.4,7,3,10,7,0,0,5,0,7.5,7.5,4.0,11.6,95,67,196,0.31,0.13,0.45,0.31,0.45,0.34,0.18,0.52,0.34,0.52,Matches
Marcos Senesi,arARG,DF,Bournemouth,27-278,1997,11,11,917,10.2,0,0,0,0,0,0,4,0,0.8,0.8,0.4,1.2,11,45,3,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.12,0.08,0.12,Matches
Ryan Sessegnon,engENG,"MF,FW",Fulham,24-270,2000,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luke Shaw,engENG,DF,Manchester Utd,29-215,1995,2,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Zain Silcott-Duberry,msMSR,FW,Bournemouth,19-218,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bernardo Silva,ptPOR,"MF,FW",Manchester City,30-186,1994,23,21,"1,916",21.3,2,4,6,2,0,0,5,0,2.9,2.9,4.0,6.9,77,89,156,0.09,0.19,0.28,0.09,0.28,0.13,0.19,0.32,0.13,0.32,Matches
Jota Silva,ptPOR,"FW,MF",Nott'ham Forest,25-195,1999,23,4,709,7.9,1,1,2,1,0,0,4,0,1.0,1.0,2.8,3.8,17,13,45,0.13,0.13,0.25,0.13,0.25,0.13,0.36,0.49,0.13,0.49,Matches
Eric da Silva Moreira,deGER,"MF,DF",Nott'ham Forest,18-285,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jahmai Simpson-Pusey,engENG,DF,Manchester City,19-100,2005,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luis Sinisterra,coCOL,"FW,MF",Bournemouth,25-240,1999,8,1,208,2.3,1,1,2,1,0,0,0,0,1.1,1.1,1.0,2.1,14,3,29,0.43,0.43,0.87,0.43,0.87,0.48,0.44,0.92,0.48,0.92,Matches
Oliver Skipp,engENG,MF,Leicester City,24-149,2000,15,7,765,8.5,0,0,0,0,0,0,4,0,0.1,0.1,0.2,0.3,13,22,13,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
William Smallbone,ieIRL,MF,Southampton,24-357,2000,8,3,321,3.6,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,3,10,15,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.17,0.09,0.17,Matches
Adam Smith,engENG,DF,Bournemouth,33-289,1991,17,12,"1,035",11.5,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,7,31,16,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Emile Smith Rowe,engENG,MF,Fulham,24-199,2000,22,18,"1,434",15.9,4,2,6,4,0,0,1,0,3.4,3.4,1.1,4.5,44,95,83,0.25,0.13,0.38,0.25,0.38,0.21,0.07,0.28,0.21,0.28,Matches
Dominic Solanke,engENG,FW,Tottenham,27-151,1997,18,18,"1,598",17.8,7,3,10,7,0,0,0,0,8.5,8.5,2.6,11.0,27,37,71,0.39,0.17,0.56,0.39,0.56,0.48,0.14,0.62,0.48,0.62,Matches
Carlos Soler,esESP,"MF,FW",West Ham,28-041,1997,19,11,991,11.0,1,1,2,1,0,0,5,0,1.2,1.2,1.1,2.3,11,43,20,0.09,0.09,0.18,0.09,0.18,0.11,0.10,0.21,0.11,0.21,Matches
Ramón Sosa,pyPAR,"FW,MF",Nott'ham Forest,25-165,1999,14,1,241,2.7,1,0,1,1,0,0,1,0,0.9,0.9,0.4,1.4,10,4,14,0.37,0.00,0.37,0.37,0.37,0.35,0.15,0.51,0.35,0.51,Matches
Tomáš Souček,czCZE,MF,West Ham,29-351,1995,22,19,"1,705",18.9,5,1,6,5,0,0,7,0,3.6,3.6,1.0,4.6,4,55,42,0.26,0.05,0.32,0.26,0.32,0.19,0.05,0.24,0.19,0.24,Matches
Boubakary Soumaré,frFRA,MF,Leicester City,25-351,1999,17,13,"1,195",13.3,0,0,0,0,0,0,8,0,0.2,0.2,0.3,0.5,16,58,11,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches
Djed Spence,engENG,DF,Tottenham,24-187,2000,11,7,680,7.6,0,1,1,0,0,0,3,1,0.1,0.1,1.0,1.2,21,35,32,0.00,0.13,0.13,0.00,0.13,0.02,0.13,0.15,0.02,0.15,Matches
Jay Stansfield,engENG,MF,Fulham,22-080,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jason Steele,engENG,GK,Brighton,34-178,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jack Stephens,engENG,DF,Southampton,31-016,1994,11,10,803,8.9,0,0,0,0,0,0,2,2,0.3,0.3,0.1,0.4,11,43,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Raheem Sterling,engENG,"FW,MF",Arsenal,30-066,1994,9,3,218,2.4,0,1,1,0,0,0,1,0,0.9,0.9,0.2,1.0,14,13,36,0.00,0.41,0.41,0.00,0.41,0.36,0.07,0.43,0.36,0.43,Matches
Ross Stewart,sctSCO,"FW,MF",Southampton,28-216,1996,4,1,132,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Jakub Stolarczyk,plPOL,GK,Leicester City,24-055,2000,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
John Stones,engENG,"DF,MF",Manchester City,30-260,1994,10,5,458,5.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,20,1,0.39,0.00,0.39,0.39,0.39,0.08,0.01,0.10,0.08,0.10,Matches
Jørgen Strand Larsen,noNOR,FW,Wolves,25-006,2000,23,22,"1,833",20.4,7,2,9,7,0,0,2,0,6.3,6.3,1.6,7.9,9,18,63,0.34,0.10,0.44,0.34,0.44,0.31,0.08,0.39,0.31,0.39,Matches
Yukinari Sugawara,jpJPN,DF,Southampton,24-229,2000,21,13,"1,166",13.0,1,1,2,1,0,0,4,0,0.4,0.4,2.2,2.6,25,58,57,0.08,0.08,0.15,0.08,0.15,0.03,0.17,0.20,0.03,0.20,Matches
Kamaldeen Sulemana,ghGHA,"FW,MF",Southampton,22-363,2002,12,3,306,3.4,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,13,5,22,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
Crysencio Summerville,nlNED,"FW,MF",West Ham,23-105,2001,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,Matches
Sammie Szmodics,ieIRL,"FW,MF",Ipswich Town,29-141,1995,18,13,978,10.9,4,0,4,4,0,0,2,0,3.4,3.4,0.2,3.6,16,18,46,0.37,0.00,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33,Matches
Dominik Szoboszlai,huHUN,MF,Liverpool,24-110,2000,21,16,"1,458",16.2,3,2,5,3,0,0,6,0,5.6,5.6,3.4,9.0,52,85,80,0.19,0.12,0.31,0.19,0.31,0.34,0.21,0.56,0.34,0.56,Matches
Matt Targett,engENG,DF,Newcastle Utd,29-147,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
James Tarkowski,engENG,DF,Everton,32-085,1992,23,23,"2,061",22.9,0,1,1,0,0,0,4,0,1.0,1.0,2.1,3.1,4,53,3,0.00,0.04,0.04,0.00,0.04,0.04,0.09,0.13,0.04,0.13,Matches
Marcus Tavernier,engENG,"FW,MF",Bournemouth,25-327,1999,17,13,"1,176",13.1,1,5,6,1,0,0,2,0,4.4,4.4,2.6,7.0,29,76,83,0.08,0.38,0.46,0.08,0.46,0.34,0.20,0.53,0.34,0.53,Matches
Charlie Taylor,engENG,DF,Southampton,31-147,1993,7,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,8,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Jack Taylor,ieIRL,MF,Ipswich Town,26-234,1998,18,1,418,4.6,1,0,1,1,0,0,3,0,0.5,0.5,0.5,1.1,8,32,13,0.22,0.00,0.22,0.22,0.22,0.12,0.12,0.23,0.12,0.23,Matches
Kenny Tete,nlNED,DF,Fulham,29-126,1995,15,15,"1,262",14.0,0,2,2,0,0,0,3,0,1.0,1.0,0.7,1.8,33,42,39,0.00,0.14,0.14,0.00,0.14,0.07,0.05,0.13,0.07,0.13,Matches
Thiago,brBRA,FW,Brentford,23-231,2001,4,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,4,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.11,0.07,0.11,Matches
Luke Thomas,engENG,DF,Leicester City,23-247,2001,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,7,5,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Youri Tielemans,beBEL,MF,Aston Villa,27-281,1997,24,24,"2,041",22.7,1,4,5,1,0,1,4,0,2.2,1.4,4.5,5.9,27,153,27,0.04,0.18,0.22,0.04,0.22,0.10,0.20,0.30,0.06,0.26,Matches
Kieran Tierney,sctSCO,"FW,DF",Arsenal,27-252,1997,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.50,0.00,1.50,Matches
Jurriën Timber,nlNED,DF,Arsenal,23-240,2001,21,20,"1,755",19.5,1,1,2,1,0,0,7,0,0.7,0.7,0.7,1.4,32,87,62,0.05,0.05,0.10,0.05,0.10,0.04,0.03,0.07,0.04,0.07,Matches
Jean-Clair Todibo,frFRA,DF,West Ham,25-044,1999,15,8,866,9.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,17,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Harry Toffolo,engENG,DF,Nott'ham Forest,29-177,1995,3,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Takehiro Tomiyasu,jpJPN,DF,Arsenal,26-099,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,2.37,0.00,2.37,2.37,2.37,Matches
Sandro Tonali,itITA,MF,Newcastle Utd,24-280,2000,22,15,"1,461",16.2,1,1,2,1,0,0,5,0,3.1,3.1,0.6,3.7,23,70,34,0.06,0.06,0.12,0.06,0.12,0.19,0.03,0.23,0.19,0.23,Matches
Pau Torres,esESP,DF,Aston Villa,28-027,1997,18,18,"1,549",17.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,31,70,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Conor Townsend,engENG,"DF,MF",Ipswich Town,31-345,1993,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches
Adama Traoré,esESP,FW,Fulham,29-018,1996,23,12,"1,134",12.6,2,3,5,2,0,0,2,0,3.5,3.5,3.1,6.6,68,44,105,0.16,0.24,0.40,0.16,0.40,0.27,0.25,0.52,0.27,0.52,Matches
Mark Travers,ieIRL,GK,Bournemouth,25-270,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ryan Trevitt,engENG,MF,Brentford,21-337,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kieran Trippier,engENG,DF,Newcastle Utd,34-146,1990,14,5,541,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,10,40,27,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Leandro Trossard,beBEL,FW,Arsenal,30-070,1994,24,16,"1,449",16.1,4,4,8,4,0,0,3,1,3.7,3.7,4.0,7.7,52,61,124,0.25,0.25,0.50,0.25,0.50,0.23,0.25,0.48,0.23,0.48,Matches
Kostas Tsimikas,grGRE,DF,Liverpool,28-276,1996,10,3,343,3.8,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.1,9,39,15,0.00,0.26,0.26,0.00,0.26,0.02,0.25,0.27,0.02,0.27,Matches
Axel Tuanzebe,cdCOD,DF,Ipswich Town,27-090,1997,12,11,977,10.9,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,4,30,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Destiny Udogie,itITA,DF,Tottenham,22-076,2002,18,18,"1,430",15.9,0,1,1,0,0,0,2,0,0.3,0.3,1.3,1.6,39,97,79,0.00,0.06,0.06,0.00,0.06,0.02,0.08,0.10,0.02,0.10,Matches
Manuel Ugarte Ribeiro,uyURU,MF,Manchester Utd,23-307,2001,18,13,"1,079",12.0,0,0,0,0,0,0,8,0,0.4,0.4,0.5,0.9,7,38,10,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
Lesley Ugochukwu,frFRA,MF,Southampton,20-323,2004,14,7,745,8.3,0,1,1,0,0,0,3,0,0.3,0.3,0.5,0.8,15,32,11,0.00,0.12,0.12,0.00,0.12,0.04,0.06,0.10,0.04,0.10,Matches
Enes Ünal,trTUR,"FW,MF",Bournemouth,27-278,1997,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.10,0.82,0.72,0.82,Matches
Virgil van Dijk,nlNED,DF,Liverpool,33-219,1991,23,23,"2,070",23.0,1,1,2,1,0,0,2,0,1.5,1.5,0.4,2.0,11,100,4,0.04,0.04,0.09,0.04,0.09,0.07,0.02,0.09,0.07,0.09,Matches
Jamie Vardy,engENG,FW,Leicester City,38-032,1987,22,22,"1,776",19.7,7,3,10,6,1,1,4,0,8.4,7.6,2.4,10.0,18,17,76,0.35,0.15,0.51,0.30,0.46,0.43,0.12,0.55,0.39,0.51,Matches
Renato Veiga,ptPOR,"DF,MF",Chelsea,21-198,2003,7,1,181,2.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,4,7,3,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Joël Veltman,nlNED,DF,Brighton,33-028,1992,18,18,"1,553",17.3,0,0,0,0,0,0,4,0,0.2,0.2,0.5,0.7,29,78,31,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Micky van de Ven,nlNED,DF,Tottenham,23-299,2001,9,9,788,8.8,0,2,2,0,0,0,4,0,0.4,0.4,1.2,1.5,8,43,1,0.00,0.23,0.23,0.00,0.23,0.04,0.13,0.17,0.04,0.17,Matches
Bart Verbruggen,nlNED,GK,Brighton,22-178,2002,22,22,"1,980",22.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jannik Vestergaard,dkDEN,DF,Leicester City,32-193,1992,16,15,"1,260",14.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,2,26,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
Guglielmo Vicario,itITA,GK,Tottenham,28-128,1996,12,12,"1,080",12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Vinícius,brBRA,MF,Fulham,29-324,1995,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.83,0.83,0.83,Matches
Kyle Walker,engENG,DF,Manchester City,34-260,1990,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
Kyle Walker-Peters,engENG,DF,Southampton,27-305,1997,22,22,"1,960",21.8,0,2,2,0,0,0,5,0,0.5,0.5,2.5,3.0,84,95,93,0.00,0.09,0.09,0.00,0.09,0.02,0.12,0.14,0.02,0.14,Matches
Christian Walton,engENG,GK,Ipswich Town,29-095,1995,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Wan-Bissaka,engENG,DF,West Ham,27-078,1997,23,22,"1,984",22.0,2,1,3,2,0,0,1,0,1.0,1.0,1.4,2.4,68,85,90,0.09,0.05,0.14,0.09,0.14,0.04,0.06,0.11,0.04,0.11,Matches
Danny Ward,wlsWAL,GK,Leicester City,31-235,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
James Ward-Prowse,engENG,MF,West Ham,30-103,1994,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
James Ward-Prowse,engENG,MF,Nott'ham Forest,30-103,1994,9,5,400,4.4,0,1,1,0,0,0,2,1,0.1,0.1,1.1,1.2,1,16,3,0.00,0.23,0.23,0.00,0.23,0.01,0.25,0.26,0.01,0.26,Matches
Ollie Watkins,engENG,FW,Aston Villa,29-044,1995,24,20,"1,641",18.2,10,5,15,8,2,2,0,0,11.5,10.0,2.5,12.5,32,14,104,0.55,0.27,0.82,0.44,0.71,0.63,0.14,0.77,0.55,0.68,Matches
Adam Webster,engENG,DF,Brighton,30-039,1995,6,3,167,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,20,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Danny Welbeck,engENG,FW,Brighton,34-078,1990,18,16,"1,355",15.1,6,2,8,6,0,0,2,0,6.0,6.0,0.6,6.6,15,32,54,0.40,0.13,0.53,0.40,0.53,0.40,0.04,0.44,0.40,0.44,Matches
Welington,brBRA,DF,Southampton,23-359,2001,1,1,80,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Timo Werner,deGER,"FW,MF",Tottenham,28-343,1996,17,4,507,5.6,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.5,42,29,87,0.00,0.53,0.53,0.00,0.53,0.17,0.44,0.62,0.17,0.62,Matches
Adam Wharton,engENG,MF,Crystal Palace,20-255,2004,9,8,625,6.9,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,7,61,6,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12,Matches
Ben White,engENG,DF,Arsenal,27-127,1997,9,7,695,7.7,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.6,4,30,15,0.00,0.13,0.13,0.00,0.13,0.02,0.06,0.07,0.02,0.07,Matches
Mats Wieffer,nlNED,MF,Brighton,25-088,1999,13,4,471,5.2,1,1,2,1,0,0,2,0,0.5,0.5,0.6,1.0,5,34,8,0.19,0.19,0.38,0.19,0.38,0.09,0.10,0.19,0.09,0.19,Matches
Neco Williams,wlsWAL,DF,Nott'ham Forest,23-305,2001,21,14,"1,334",14.8,1,1,2,1,0,0,4,0,1.5,1.5,0.6,2.1,36,44,44,0.07,0.07,0.13,0.07,0.13,0.10,0.04,0.14,0.10,0.14,Matches
Joe Willock,engENG,"MF,FW",Newcastle Utd,25-176,1999,21,6,624,6.9,0,1,1,0,0,0,2,0,0.9,0.9,1.4,2.3,20,27,49,0.00,0.14,0.14,0.00,0.14,0.12,0.21,0.33,0.12,0.33,Matches
Callum Wilson,engENG,"FW,MF",Newcastle Utd,32-351,1992,4,0,61,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Harry Wilson,wlsWAL,"FW,MF",Fulham,27-327,1997,19,8,839,9.3,5,1,6,5,0,0,2,0,3.2,3.2,1.0,4.2,16,42,71,0.54,0.11,0.64,0.54,0.64,0.35,0.11,0.45,0.35,0.45,Matches
Harry Winks,engENG,MF,Leicester City,29-010,1996,19,17,"1,456",16.2,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.4,15,92,10,0.00,0.12,0.12,0.00,0.12,0.01,0.07,0.09,0.01,0.09,Matches
Ben Winterburn,engENG,MF,Bournemouth,20-161,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Yoane Wissa,cdCOD,FW,Brentford,28-162,1996,21,20,"1,661",18.5,11,2,13,11,0,0,2,0,11.2,11.2,1.3,12.5,37,37,89,0.60,0.11,0.70,0.60,0.70,0.61,0.07,0.68,0.61,0.68,Matches
Chris Wood,nzNZL,FW,Nott'ham Forest,33-067,1991,24,23,"1,915",21.3,17,2,19,14,3,3,1,0,10.3,7.9,1.5,9.4,12,24,58,0.80,0.09,0.89,0.66,0.75,0.48,0.07,0.56,0.37,0.44,Matches
Nathan Wood-Gordon,engENG,DF,Southampton,22-257,2002,8,6,579,6.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,16,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Luke Woolfenden,engENG,DF,Ipswich Town,26-114,1998,9,8,737,8.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,4,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Yehor Yarmoliuk,uaUKR,"MF,FW",Brentford,20-348,2004,18,6,625,6.9,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,11,27,33,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
Ryan Yates,engENG,MF,Nott'ham Forest,27-083,1997,22,15,"1,457",16.2,1,0,1,1,0,0,6,0,1.7,1.7,0.7,2.5,12,37,11,0.06,0.00,0.06,0.06,0.06,0.11,0.04,0.15,0.11,0.15,Matches
Leny Yoro,frFRA,DF,Manchester Utd,19-091,2005,11,5,545,6.1,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,3,23,2,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Ashley Young,engENG,DF,Everton,39-218,1985,20,17,"1,488",16.5,1,3,4,1,0,0,5,1,0.2,0.2,1.4,1.7,17,79,20,0.06,0.18,0.24,0.06,0.24,0.01,0.09,0.10,0.01,0.10,Matches
Illia Zabarnyi,uaUKR,DF,Bournemouth,22-164,2002,24,24,"2,160",24.0,0,0,0,0,0,0,3,0,0.8,0.8,0.5,1.3,18,91,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,Matches
Oleksandr Zinchenko,uaUKR,"DF,MF",Arsenal,28-059,1996,8,2,243,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,19,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Joshua Zirkzee,nlNED,"FW,MF",Manchester Utd,23-266,2001,24,8,885,9.8,3,1,4,3,0,0,1,0,3.3,3.3,1.4,4.7,5,30,46,0.31,0.10,0.41,0.31,0.41,0.33,0.14,0.47,0.33,0.47,Matches
Martin Ødegaard,noNOR,MF,Arsenal,26-057,1998,16,15,"1,283",14.3,2,3,5,1,1,1,2,0,3.1,2.3,2.4,4.7,40,139,80,0.14,0.21,0.35,0.07,0.28,0.22,0.17,0.39,0.16,0.33,Matches
